interactor A gene symbol,interactor B gene symbol,interactor A Uniprot AC,interactor B Uniprot AC
RPA2,STAT3,P15927,P40763
DDX54,ESR1,Q8TDD1,P03372
IFT88,PRRC2A,Q13099,P48634
IGF1R,IRS1,P08069,P35568
IRS1,PTK2,P35568,Q05397
IRS1,MAPK8,P35568,P45983
INSR,IRS1,P06213,P35568
BYSL,KRT8,Q13895,P05787
AKT1,PLXNA1,P31749,Q9UIW2
ABL1,ATM,P00519,Q13315
ABL1,NTRK1,P00519,P04629
HRAS,RAP1GDS1,P01112,P52306
CDH1,CTNND1,P12830,O60716
CBLL1,CDH1,Q75N03,P12830
FLNA,TRIO,P21333,O75962
CDKN2A,PPP1R9B,P42771,Q96SB3
JAK3,STAT5A,P52333,P42229
DUSP10,MAPK8,Q9Y6W6,P45983
PBLD,STRAP,P30039,Q9Y3F4
HSH2D,TNK2,Q96JZ2,Q07912
COL23A1,LSM8,Q86Y22,O95777
NPR1,PRKG1,P16066,Q13976
ACTB,CFL1,P60709,P23528
ACY1,TTC1,Q03154,Q99614
ACTG1,CFL1,P63261,P23528
NOL3,SIRPA,O60936,P78324
CEP44,MAPK9,Q9C0F1,P45984
MAPK9,ZBTB25,P45984,P24278
MAPK9,SF3B4,P45984,Q15427
FTH1,FXR2,P02794,P51116
MAGEA12,STAT5A,P43365,P42229
SIRPA,TRIM2,P78324,Q9C040
PBLD,TRIP13,P30039,Q15645
CHTF8,EIF4EBP1,P0CG13,Q13541
FTH1,FTL,P02794,P02792
PRTFDC1,STAT5A,Q9NRG1,P42229
ACY1,ACY1,Q03154,Q03154
MAPK9,WDR62,P45984,O43379
EIF4E,EIF4EBP1,P06730,Q13541
GSTA4,GSTA4,O15217,O15217
ERBB4,STAT5A,Q15303,P42229
EGFR,STAT5A,P00533,P42229
RET,STAT3,P07949,P40763
EGFR,STAT3,P00533,P40763
EPHA5,STAT3,P54756,P40763
TCERG1,TPM4,O14776,P67936
EIF4EBP1,UBAC1,Q13541,Q9BSL1
CDK4,CDKN2A,P11802,P42771
HSPA4L,KRT8,O95757,P05787
CFL1,TAGLN,P23528,Q01995
SERPINB3,USF2,P29508,Q15853
CLN5,KRT8,O75503,P05787
TSC2,YWHAQ,P49815,P27348
AURKA,CDKN2A,O14965,P42771
AURKA,SOD2,O14965,P04179
CDK6,CDKN2A,Q00534,P42771
JAK1,STAT3,P23458,P40763
AKT1,AR,P31749,P10275
STAT3,TRIP10,P40763,Q15642
APC,MUC1,P25054,P15941
ABL1,PTPN6,P00519,P29350
CDH1,HDAC1,P12830,Q13547
CDH1,HDAC2,P12830,Q92769
ABL1,RB1,P00519,P06400
ABL1,BRCA1,P00519,P38398
CDH1,CTNNB1,P12830,P35222
CDH1,MET,P12830,P08581
CDH1,SRC,P12830,P12931
CTNNB1,MUC1,P35222,P15941
AR,STAT3,P10275,P40763
ABL1,BCR,P00519,P11274
CDH1,VCL,P12830,P18206
MAPK8,TNFRSF10B,P45983,O14763
FADD,MAPK8,Q13158,P45983
FASLG,MAPK8,P48023,P45983
BID,MAPK8,P55957,P45983
EZR,MAPK8,P15311,P45983
MAPK8,RHOA,P45983,P61586
ARHGDIA,MAPK8,P52565,P45983
FAS,MAPK8,P25445,P45983
MAPK8,MSN,P45983,P26038
CASP10,MAPK8,Q92851,P45983
CASP8,MAPK8,Q14790,P45983
MAPK8,TNFRSF1A,P45983,P19438
CDH1,ITGAE,P12830,P38570
GSK3B,MUC1,P49841,P15941
FANCC,GSTP1,Q00597,P09211
LYN,MUC1,P07948,P15941
CDH1,CTNNA1,P12830,P35221
CDH1,JUP,P12830,P14923
CDH1,CSE1L,P12830,P55060
ABL1,ABL1,P00519,P00519
MDM2,TP53,Q00987,P04637
ATF2,CEBPA,P15336,P49715
AR,CCND1,P10275,P24385
CCND1,HDAC3,P24385,O15379
MDC1,MDM2,Q14676,Q00987
ERBB2,MUC1,P04626,P15941
CEBPA,NCOA6,P49715,Q14686
ABL1,PIK3R1,P00519,P27986
ABL1,RAD51,P00519,Q06609
ABI2,ABL1,Q9NYB9,P00519
CTBP1,MDM2,Q13363,Q00987
ABL1,BCAR1,P00519,P56945
CDH1,GNA13,P12830,Q14344
IRS1,SFN,P35568,P31947
JUP,MUC1,P14923,P15941
CDH1,CDH1,P12830,P12830
CDH1,CDH3,P12830,P22223
ABL1,ATR,P00519,Q13535
ATM,EIF4EBP1,Q13315,Q13541
CDH1,GNA12,P12830,Q03113
AKT1,BRCA1,P31749,P38398
ABL1,ABL2,P00519,P42684
ABL1,CRKL,P00519,P46109
AKT1,FANCA,P31749,O15360
BRAF,HRAS,P15056,P01112
HRAS,RASGRF1,P01112,Q13972
HRAS,RAF1,P01112,P04049
ABL1,CREB1,P00519,P16220
CTBP2,MDM2,P56545,Q00987
ABL1,JAK1,P00519,P23458
GADD45B,MAP2K7,O75293,O14733
MDM2,TP73,Q00987,O15350
HRAS,RGL4,P01112,Q8IZJ4
ABLIM3,ACTC1,O94929,P68032
ERGIC1,ERGIC3,Q969X5,Q9Y282
EGF,FNBP1,P01133,Q96RU3
MDM2,PML,Q00987,P29590
ABL1,YTHDC1,P00519,Q96MU7
EXOSC2,KHSRP,Q13868,Q92945
CCND2,CDKN2A,P30279,P42771
CDKN2A,SERTAD1,P42771,Q9UHV2
COG1,COG4,Q8WTW3,Q9H9E3
COG2,COG4,Q14746,Q9H9E3
COG4,COG5,Q9H9E3,Q9UP83
COG4,COG7,Q9H9E3,P83436
HRAS,RIN1,P01112,Q13671
HRAS,RALGDS,P01112,Q12967
HRAS,RASIP1,P01112,Q5U651
HRAS,RGL2,P01112,O15211
AKT1,PAK1,P31749,Q13153
AKT1,AKTIP,P31749,Q9H8T0
CFL1,HSPH1,P23528,Q92598
HRAS,PIK3CA,P01112,P42336
AKAP8,CCND1,O43823,P24385
E2F1,PHB,Q01094,P35232
HDAC1,PHB,Q13547,P35232
JUN,MAPK8,P05412,P45983
MDM2,RPL11,Q00987,P62913
MDM2,RPL5,Q00987,P46777
CDKN2A,MDM2,P42771,Q00987
CDKN2A,RPL11,P42771,P62913
CDKN2A,TP53,P42771,P04637
PRKG1,RGS2,Q13976,P41220
CFL1,TXNDC17,P23528,Q9BRA2
AJAP1,CDH1,Q9UKB5,P12830
CA9,CDH1,Q16790,P12830
IL6,IL6R,P05231,P08887
EXOSC2,UPF1,Q13868,Q92900
EXOSC2,UPF2,Q13868,Q9HAU5
EXOSC2,UPF3A,Q13868,Q9H1J1
NR3C1,STAT3,P04150,P40763
PHB,TP53,P35232,P04637
CFL1,LIMK1,P23528,P53667
MYOD1,STAT3,P15172,P40763
CEBPA,MSX2,P49715,P35548
ABL1,GPX1,P00519,P07203
CEBPA,MYC,P49715,P01106
NDUFA13,STAT3,Q9P0J0,P40763
RHEB,TSC2,Q15382,P49815
RAP1A,TSC2,P62834,P49815
RALA,TSC2,P11233,P49815
AKT1,TRIB3,P31749,Q96RU7
ABL1,CAT,P00519,P04040
ABL2,CAT,P42684,P04040
GALNT4,MUC1,Q8N4A0,P15941
HRAS,TTC1,P01112,Q99614
GPSM2,HRAS,P81274,P01112
ACTC1,TNNI3K,P68032,Q59H18
ADAMTS1,VEGFA,Q9UHI8,P15692
KDR,VEGFA,P35968,P15692
ABI1,ABL1,Q8IZP0,P00519
MDM2,NUMB,Q00987,P49757
MDM2,UBE2A,Q00987,P49459
CDKN2A,UBE2A,P42771,P49459
CDH1,FYN,P12830,P06241
CDH1,FER,P12830,P16591
CDH1,YES1,P12830,P07947
CDH1,RAB8B,P12830,Q92930
ANXA2,PHB,P07355,P35232
ACTN1,PHB,P12814,P35232
HRAS,SOS1,P01112,Q07889
CDH1,PKP4,P12830,Q99569
CDKN2A,FKBP2,P42771,P26885
HIF1A,MDM2,Q16665,Q00987
KAT5,STAT3,Q92993,P40763
KAT5,MDM2,Q92993,Q00987
CCND1,THRB,P24385,P10828
CCND1,THRA,P24385,P10827
GSTP1,TGM2,P09211,P21980
HDAC1,MDM2,Q13547,Q00987
NCOR1,PHB,O75376,P35232
PHB,SIN3A,P35232,Q96ST3
PHB,SMARCA4,P35232,P51532
PHB,SMARCA2,P35232,P51531
EID1,MDM2,Q9Y6B2,Q00987
MDM2,MDM4,Q00987,O15151
CSNK2A1,MGMT,P68400,P16455
CSNK2A2,MGMT,P19784,P16455
MGMT,PRKACA,P16455,P17612
MGMT,PRKCA,P16455,P17252
MAPK8,SPIB,P45983,Q01892
MAPK8,SPI1,P45983,P17947
ESR1,MGMT,P03372,P16455
CREBBP,MGMT,Q92793,P16455
EP300,MGMT,Q09472,P16455
CREBBP,STAT3,Q92793,P40763
KAT2B,MDM2,Q92831,Q00987
CCND1,KAT2B,P24385,Q92831
EP300,STAT3,Q09472,P40763
SMAD1,STAT3,Q15797,P40763
EP300,MDM2,Q09472,Q00987
CCND1,NEUROD1,P24385,Q13562
CCND1,EP300,P24385,Q09472
AKT1,HSP90AA1,P31749,P07900
ARHGEF1,HRAS,Q92888,P01112
GRB2,KRT8,P62993,P05787
ALDH2,UNC119,P05091,Q13432
BLMH,TRIO,Q13867,O75962
IL6,SH3GL2,P05231,Q99962
HGH1,TRIT1,Q9BTY7,Q9H3H1
MAPK9,XPNPEP1,P45984,Q9NQW7
MAPK9,XPO7,P45984,Q9UIA9
NOL12,SOD2,Q9UGY1,P04179
CFL1,MYCBP,P23528,Q99417
ALDH2,SLC35F6,P05091,Q8N357
ALDH2,IGSF21,P05091,Q96ID5
BAG6,CHN2,P46379,P52757
ELL3,FTH1,Q9HB65,P02794
FGFR3,KRT8,P22607,P05787
GSTP1,PNO1,P09211,Q9NRX1
ACP5,MAPK9,P13686,P45984
PEBP1,STC2,P30086,O76061
RPS3A,SOD2,P61247,P04179
PIM1,SHMT1,P11309,P34896
ALDH2,CRMP1,P05091,Q14194
BRD7,FTH1,Q9NPI1,P02794
CRMP1,FTH1,Q14194,P02794
FTH1,UBR1,P02794,Q8IWV7
FTH1,GOLM1,P02794,Q8NBJ4
GSTO1,KAT5,P78417,Q92993
GSTO1,SETDB1,P78417,Q15047
GSTP1,PTN,P09211,P21246
GSTO1,RBM48,P78417,Q5RL73
EEF1G,GSTO1,P26641,P78417
ALDH2,EIF6,P05091,P56537
TSC2,YWHAZ,P49815,P63104
CAT,CAT,P04040,P04040
AKT1,IRAK1,P31749,P51617
IRS1,SOCS1,P35568,O15524
STAT1,STAT3,P42224,P40763
PTPN11,STAT3,Q06124,P40763
CAP1,CFL1,Q01518,P23528
ACTA1,CFL1,P68133,P23528
CCND1,CDK4,P24385,P11802
CCND1,CDK6,P24385,Q00534
CCND1,CDKN2A,P24385,P42771
MRVI1,PRKG1,Q9Y6F6,Q13976
ITPR1,PRKG1,Q14643,Q13976
CCND1,TAF1,P24385,P21675
IGF2,NOV,P01344,P48745
IL1RAP,STAT3,Q9NPH3,P40763
PGF,VEGFA,P49763,P15692
VEGFA,VEGFA,P15692,P15692
AKT1,IMPDH2,P31749,P12268
HRAS,RASSF1,P01112,Q9NS23
IRS1,PIK3R3,P35568,Q92569
IL2RB,STAT3,P14784,P40763
IL2RB,STAT5A,P14784,P42229
CDKN2A,E4F1,P42771,Q66K89
AKT1,BRAF,P31749,P15056
ABL1,TP53,P00519,P04637
JAK2,STAT5A,O60674,P42229
EGF,EGF,P01133,P01133
CCND1,CCNDBP1,P24385,O95273
ABL1,SHC1,P00519,P29353
ABL1,INPPL1,P00519,O15357
AKT1,HSPB1,P31749,P04792
AKT1,MAPKAPK2,P31749,P49137
AKT1,MAPK14,P31749,Q16539
IRS1,PIK3R1,P35568,P27986
CCND1,RB1,P24385,P06400
HRAS,SHOC2,P01112,Q9UQ13
MDM2,TBP,Q00987,P20226
MDM2,TAF1,Q00987,P21675
HRAS,PDE6D,P01112,O43924
CISH,IL2RB,Q9NSE2,P14784
EGF,EGFR,P01133,P00533
EGF,ERBB2,P01133,P04626
EGF,ERBB3,P01133,P21860
MAPK8,SH3BP5,P45983,O60239
MAPK9,SH3BP5,P45984,O60239
GSTP1,GSTP1,P09211,P09211
GRB2,IRS1,P62993,P35568
CCND1,HERC5,P24385,Q9UII4
ABL1,SOS1,P00519,Q07889
HRAS,TIAM1,P01112,Q13009
MAP3K1,MAPK8,Q13233,P45983
CTGF,VEGFA,P29279,P15692
ESR1,STAT5A,P03372,P42229
ESR2,STAT5A,Q92731,P42229
GALNT12,MUC1,Q8IXK2,P15941
GRB2,TNK2,P62993,Q07912
ABL1,SLC9A2,P00519,Q9UBY0
IGF2,IGFBP7,P01344,Q16270
ABL1,PRKDC,P00519,P78527
NRP1,VEGFA,O14786,P15692
ABL1,TP73,P00519,O15350
FES,STAT3,P07332,P40763
ABL1,DOK1,P00519,Q99704
CCND1,CDKN1C,P24385,P49918
PTPN11,STAT5A,Q06124,P42229
ABL1,ST5,P00519,P78524
CDH1,EGFR,P12830,P00533
ABL1,ZAP70,P00519,P43403
PEBP1,RAF1,P30086,P04049
MAP2K1,PEBP1,Q02750,P30086
MAPK1,PEBP1,P28482,P30086
MAPK9,PRKD1,P45984,Q15139
MAPK8,PRKD1,P45983,Q15139
JAK2,SIRPA,O60674,P78324
IRS1,JAK1,P35568,P23458
IRS1,JAK2,P35568,O60674
KRT8,PLAT,P05787,P00750
NCOA1,STAT3,Q15788,P40763
HRAS,RASSF5,P01112,Q8WWW0
MDM2,MDM2,Q00987,Q00987
CDH1,MYO7A,P12830,Q13402
CDH1,VEZT,P12830,Q9HBM0
IGF2,IGFBP1,P01344,P08833
IRS1,KHDRBS1,P35568,Q07666
ESR1,MDM2,P03372,Q00987
IGF2,TF,P01344,P02787
IGF2,IGFBP3,P01344,P17936
ABL1,RFX1,P00519,P22670
RAC1,TRIO,P63000,O75962
MAP2K7,MAPK8IP1,O14733,Q9UQF2
MAP2K7,MAPK8IP2,O14733,Q13387
MAPK8IP1,MAPK9,Q9UQF2,P45984
MAPK8IP2,MAPK9,Q13387,P45984
ATF2,MAPK8,P15336,P45983
ARRB2,MDM2,P32121,Q00987
IRS1,PTPN1,P35568,P18031
CCND1,CDKN1B,P24385,P46527
ABL1,RAD9A,P00519,Q99638
MAPK8,SPAG9,P45983,O60271
MAP2K4,MAPK8,P45985,P45983
CRKL,STAT5A,P46109,P42229
GRB10,IRS1,Q13322,P35568
CRK,MAPK8,P46108,P45983
BCAR1,MAPK8,P56945,P45983
HSP90AA1,PIM1,P07900,P11309
ABL1,TERF1,P00519,P54274
PAX6,SIX3,P26367,O95343
IGFBP7,VEGFA,Q16270,P15692
AKT1,TCL1A,P31749,P56279
AKT1,MTCP1,P31749,P56278
SPARC,VEGFA,P09486,P15692
ABL1,HCK,P00519,P08631
ABL1,GRB2,P00519,P62993
CEBPA,NR3C1,P49715,P04150
AR,CEBPA,P10275,P49715
CEBPA,ESR1,P49715,P03372
CEBPA,RARB,P49715,P10826
CHUK,IRS1,O15111,P35568
IKBKB,IRS1,O14920,P35568
CDC42,TNK2,P60953,Q07912
CCND1,ESR1,P24385,P03372
CTSK,SERPINB3,P43235,P29508
CTSL,SERPINB3,P07711,P29508
CTSS,SERPINB3,P25774,P29508
HRAS,PIK3CD,P01112,O00329
JAK1,STAT5A,P23458,P42229
MAPK8,SNCG,P45983,O76070
MAPK8,SNCA,P45983,P37840
CDH1,MAGI1,P12830,Q96QZ7
AKT1,KRT10,P31749,P13645
PTGS2,TP53,P35354,P04637
BRCA1,STAT5A,P38398,P42229
BRCA2,STAT5A,P51587,P42229
CCND1,RBX1,P24385,P62877
AKT1,RAF1,P31749,P04049
ESR1,STAT3,P03372,P40763
PIAS3,STAT3,Q9Y6X2,P40763
PTPN2,STAT3,P17706,P40763
ABL1,VAV1,P00519,P15498
CCND1,STAT3,P24385,P40763
HRAS,INSR,P01112,P06213
PPP1R12B,PRKG1,O60237,Q13976
PPP1R12A,PRKG1,O14974,Q13976
CAT,PEX5,P04040,P50542
IRS1,YWHAE,P35568,P62258
DUSP19,MAP2K7,Q8WTR2,O14733
MAP2K7,MAP3K5,O14733,Q99683
CISH,GHR,Q9NSE2,P10912
IRS1,PTPN11,P35568,Q06124
ABL1,MDM2,P00519,Q00987
HSP90AA1,STAT3,P07900,P40763
KHDRBS1,STAT3,Q07666,P40763
CCNG1,MDM2,P51959,Q00987
CCNG1,CDKN2A,P51959,P42771
BCL2,IRS1,P10415,P35568
BCL2L1,IRS1,Q07817,P35568
ERBB2,STAT3,P04626,P40763
ABL1,MTOR,P00519,P42345
AKT1,SMAD2,P31749,Q15796
AKT1,SMAD3,P31749,P84022
AKT1,SMAD4,P31749,Q13485
AKT1,SMAD7,P31749,O15105
AKT1,RPS6KB1,P31749,P23443
AKT1,TSC1,P31749,Q92574
AKT1,TSC2,P31749,P49815
AKT1,MAPKAP1,P31749,Q9BPZ7
AKT1,BAD,P31749,Q92934
CAV1,TSC2,Q03135,P49815
EIF4EBP1,MTOR,Q13541,P42345
EIF4EBP1,LRPAP1,Q13541,P30533
EIF4EBP1,PPP2R2A,Q13541,P63151
EIF4EBP1,RPTOR,Q13541,Q8N122
FOXO1,TSC2,Q12778,P49815
AKT1,MTOR,P31749,P42345
IRS1,MTOR,P35568,P42345
MTOR,PRKAA1,P42345,Q13131
AKT1,GSK3B,P31749,P49841
