,Node degree,Betweenness centrality,Eigenvector centrality,Closeness centrality,Betweenness/Node degree
RPA2,238,0.0024578679207442524,0.05885415676661675,0.4857313611235619,1.0327176137580893e-05
STAT3,246,0.014285625936446469,0.02789469458708016,0.484862043251305,5.8071650148156374e-05
DDX54,65,0.0011108949864743352,0.014326341364466425,0.4262488527599318,1.7090692099605156e-05
ESR1,411,0.010125543500194251,0.09166892099701812,0.513748419721871,2.463635888125122e-05
IFT88,27,0.00014920450656763872,0.0014363829488174137,0.35164954029204976,5.526092835838471e-06
PRRC2A,41,0.00014968578441257682,0.014188771751718614,0.4258022265880812,3.6508727905506542e-06
IGF1R,65,0.0008128066856459728,0.014647920652942929,0.45108921881504094,1.2504718240707275e-05
IRS1,69,0.0003251771718708264,0.012365492343457213,0.43819921822348024,4.712712635809078e-06
PTK2,88,0.0008569568892850939,0.016889926218198757,0.4637660485021398,9.738146469148795e-06
MAPK8,169,0.005510430973595756,0.02070751529697522,0.46972980783123824,3.2606100435477845e-05
INSR,56,0.000310433539133277,0.00807648975295572,0.42821390937829296,5.5434560559513754e-06
BYSL,59,0.0003477757235666726,0.011594356478674472,0.42541219576027217,5.894503789265637e-06
KRT8,59,0.0006513648551902755,0.01172527938340261,0.43191178424339044,1.1040082291360601e-05
AKT1,313,0.015094449126944453,0.04330791192417407,0.4951264087724642,4.8225077082889625e-05
PLXNA1,10,2.3532626854922338e-05,0.0011992037648049046,0.3522210184182015,2.3532626854922338e-06
ABL1,181,0.005743683423387149,0.03230252689202597,0.4748758399065148,3.173305758777431e-05
ATM,114,0.0011812150209219382,0.02120357242770148,0.4503393821858983,1.0361535271245072e-05
NTRK1,868,0.05210836176701147,0.14542567609518062,0.560904071773637,6.0032674846787403e-05
HRAS,101,0.003221938710674864,0.007123472053648849,0.41387651177593887,3.1900383274008556e-05
RAP1GDS1,33,0.00019958900313618385,0.007907249278998768,0.4220433597299753,6.0481516101873895e-06
CDH1,606,0.05108353542530531,0.06187017871332995,0.5265630061548429,8.429626307806157e-05
CTNND1,47,0.0002898708807921382,0.014112891650657926,0.44909517889211215,6.167465548768897e-06
CBLL1,9,5.3778178599149956e-06,0.0032899189914689644,0.38804010503700165,5.975353177683329e-07
FLNA,171,0.0015972205587034482,0.04187967520293829,0.4731480133896085,9.340471103528936e-06
TRIO,29,0.00028201601406250204,0.005005091445461534,0.4044035327777087,9.724690140086278e-06
CDKN2A,165,0.005310288766759143,0.0324800172087412,0.4633034060139661,3.2183568283388744e-05
PPP1R9B,23,4.4639218411549443e-05,0.007010926907658804,0.40245110175786086,1.9408355831108454e-06
JAK3,43,0.0001491113721628351,0.006189420136315641,0.3885967009323452,3.4677063293682584e-06
STAT5A,84,0.004064913087344519,0.010190499695740641,0.4225370418507928,4.839182246838713e-05
DUSP10,16,2.1552227357081552e-05,0.002943710110782746,0.3710340104998859,1.347014209817597e-06
PBLD,13,5.313737180086483e-05,0.0006953047791200967,0.34170695816691193,4.087490138528064e-06
STRAP,44,0.00016093732033709612,0.013337749462348416,0.429401664245146,3.657666371297639e-06
HSH2D,9,3.987592207810745e-05,0.0005864380460034452,0.3386105613998542,4.4306580086786054e-06
TNK2,81,0.0012613608922470904,0.012460450399359363,0.4373150390099543,1.5572356694408523e-05
COL23A1,2,1.2659745677302788e-07,0.000111999563279401,0.2958951488122326,6.329872838651394e-08
LSM8,31,0.0002573024153733508,0.0050359305317127035,0.36738614532715563,8.30007791526938e-06
NPR1,2,1.7895520797256975e-06,3.2014140314552283e-05,0.2770345121431615,8.947760398628487e-07
PRKG1,24,0.0006996021000387349,0.0021863890611820316,0.3647890484739677,2.9150087501613953e-05
ACTB,189,0.0032063795243204075,0.04719421128766114,0.4801358735784965,1.6964971028150305e-05
CFL1,144,0.0021149713298448296,0.03236521150479998,0.4604163716187509,1.4687300901700205e-05
ACY1,24,0.000338841214017377,0.0026822526493063257,0.37806721711826957,1.4118383917390708e-05
TTC1,36,0.0001954164912501178,0.005670489725274723,0.40265048303195444,5.428235868058828e-06
ACTG1,101,0.0007678828956154495,0.02501780442366337,0.45634475014037057,7.602800946687619e-06
NOL3,18,4.0382924245944386e-05,0.0012834008314828653,0.35092832469775476,2.243495791441355e-06
SIRPA,13,0.0006651121357904564,0.0015613658598358068,0.3710340104998859,5.116247198388126e-05
CEP44,48,0.0002977798692291179,0.003657457885751694,0.3817968291250734,6.203747275606623e-06
MAPK9,110,0.0029337958966860595,0.010785194428326893,0.4447332421340629,2.6670871788055086e-05
ZBTB25,11,1.0087305302591251e-05,0.0012802637941745686,0.35437104861565294,9.170277547810228e-07
SF3B4,59,0.00021935597368277787,0.01778604052614344,0.43082427776305326,3.717897859030133e-06
FTH1,98,0.00379424948879917,0.008219429783766765,0.43185441020191284,3.8716831518358875e-05
FXR2,62,0.00038163186805194847,0.012119816246546853,0.42945838837516515,6.155352710515298e-06
MAGEA12,2,2.977516795825142e-06,9.920519192514163e-05,0.30018467220683287,1.488758397912571e-06
TRIM2,16,5.28273741907596e-05,0.00254830687754852,0.3759685440037007,3.301710886922475e-06
TRIP13,48,0.0004957635041829471,0.010189203982884261,0.42314200182220485,1.0328406337144731e-05
CHTF8,8,1.80465916771298e-05,0.002726094021597452,0.3794793976888059,2.255823959641225e-06
EIF4EBP1,37,0.0002314735124963998,0.00580793940830462,0.40632420947381576,6.256040878281076e-06
FTL,24,7.418884872761808e-05,0.003090655180242191,0.3777597025331164,3.09120203031742e-06
PRTFDC1,6,1.28799694658683e-05,0.0007813630450019746,0.34081140580773667,2.1466615776447166e-06
WDR62,24,4.3828482227399134e-05,0.0039009207771621714,0.37749651648862054,1.826186759474964e-06
EIF4E,30,0.00011598131210374743,0.0070686982116020414,0.4086737900691389,3.866043736791581e-06
GSTA4,8,0.0006676862231620134,0.00033755465935676076,0.3275566750629723,8.346077789525168e-05
ERBB4,51,0.00023393491206917495,0.009196853610933718,0.42035169381949833,4.586959060179901e-06
EGFR,542,0.02813058836985131,0.08614142093716308,0.5319044502617801,5.190145455692124e-05
RET,33,0.0001676682840336364,0.006782643789906048,0.4141928908141164,5.0808570919283754e-06
EPHA5,5,1.1483744843686944e-05,0.0004494693969934116,0.341850683491062,2.296748968737389e-06
TCERG1,50,0.00012063099789601132,0.015725315081405258,0.4207324964410509,2.4126199579202266e-06
TPM4,90,0.000944943794734066,0.01729567207430876,0.44009746852578857,1.0499375497045178e-05
UBAC1,24,0.00010654580610814194,0.005142252584385049,0.40810946522721564,4.439408587839247e-06
CDK4,101,0.0009911215297290139,0.021552721543985295,0.4531642040702537,9.813084452762514e-06
HSPA4L,39,0.0002579878668982602,0.010037280479822839,0.421277698587534,6.6150735102118e-06
TAGLN,31,7.806632395980666e-05,0.003948982057214096,0.37014687464419904,2.518268514832473e-06
SERPINB3,45,0.0015812062528046112,0.006688907236202147,0.4081607030759573,3.513791672899136e-05
USF2,15,1.7519121360378133e-05,0.003522091051110558,0.372949409200413,1.167941424025209e-06
CLN5,16,3.654045849154833e-05,0.0026352078156264887,0.3666403518664712,2.2837786557217706e-06
TSC2,68,0.001526626546195336,0.010029208612734274,0.43485821294810056,2.245039038522553e-05
YWHAQ,264,0.004799538985467279,0.05979279668902731,0.49279975746551463,1.8180071914648785e-05
AURKA,169,0.0028307889762044605,0.04007797773955708,0.4728727272727273,1.675023062842876e-05
SOD2,41,0.0004512321654601542,0.005557871958762268,0.40329983872968617,1.1005662572198882e-05
CDK6,63,0.00048143255966888216,0.012499181935652342,0.43932432432432433,7.641786661410827e-06
JAK1,63,0.00042536477215179895,0.012706151268540068,0.4356740820155454,6.751821780187285e-06
AR,156,0.001657973332759653,0.029169426800568263,0.46723196320781835,1.062803418435675e-05
TRIP10,24,5.155338694425702e-05,0.003000388465032486,0.377540355359424,2.1480577893440422e-06
APC,109,0.0014655484573124328,0.01747185725195515,0.44576991635815166,1.344539869093975e-05
MUC1,42,0.0011296114327812388,0.007144538679694592,0.4119361378611252,2.689551030431521e-05
PTPN6,68,0.00044947464613630196,0.010172898533022784,0.4195921528136293,6.6099212667103225e-06
HDAC1,237,0.004911878816410334,0.04108749477717836,0.48660380182607393,2.0725227073461324e-05
HDAC2,156,0.0015978571397568888,0.03386849447112853,0.4693907017037251,1.024267397280057e-05
RB1,142,0.001921288449407009,0.024724227925570753,0.461200170236913,1.3530200347936682e-05
BRCA1,532,0.014311638804130817,0.11589283220417292,0.5212441879108546,2.690157669949402e-05
CTNNB1,230,0.005326222707110847,0.04977595391744507,0.49839031120650007,2.3157490030916725e-05
MET,29,3.5978477559430626e-05,0.007227431935927925,0.41620791191908846,1.2406371572217456e-06
SRC,188,0.004493595564779912,0.028763209283127728,0.48385176365530586,2.3902104067978253e-05
BCR,54,0.00044581542657987555,0.013580374534555992,0.44632070291048875,8.255841232960658e-06
VCL,70,0.000503023576299187,0.018624406122586205,0.4465046010163439,7.186051089988385e-06
TNFRSF10B,32,0.00044014576831824087,0.0050430794342005165,0.41042797626562305,1.3754555259945027e-05
FADD,37,0.0002799774306301729,0.00450428889795833,0.38901519684097163,7.566957584599267e-06
FASLG,43,0.0002410772499784208,0.004510391115315199,0.392538034291234,5.606447673916763e-06
BID,41,0.00015235113385225058,0.007806057009891983,0.4173299101412067,3.715881313469526e-06
EZR,90,0.0009765728308942696,0.02002431589478891,0.4627758007117438,1.0850809232158552e-05
RHOA,87,0.001061570789946799,0.012125817844777025,0.4330624750233116,1.2201963102836769e-05
ARHGDIA,72,0.0004459658207279755,0.014386645024405434,0.43082427776305326,6.193969732332993e-06
FAS,57,0.0011269907422326543,0.006781398737857074,0.4017051773137279,1.9771767407590427e-05
MSN,83,0.0005545199485335831,0.01836296578067359,0.43831737899420253,6.680963235344375e-06
CASP10,22,1.4924046220031749e-05,0.0019085480743020996,0.3595443485954435,6.783657372741704e-07
CASP8,78,0.0008842780538571597,0.009698622881361755,0.4205148105031691,1.1336898126373842e-05
TNFRSF1A,82,0.0012318935041107362,0.01313346081773029,0.44897113658334487,1.5023091513545563e-05
ITGAE,3,2.206163606360409e-07,0.0020377989723986173,0.3801005495147901,7.353878687868031e-08
GSK3B,158,0.00262551602511886,0.02672320897470008,0.48113067929554537,1.6617190032397848e-05
FANCC,30,4.076186826365219e-05,0.006933296010554614,0.3869316829326351,1.3587289421217398e-06
GSTP1,52,0.0013849071334125062,0.014301439880533508,0.42641657922350473,2.663282948870204e-05
LYN,86,0.001075114424517572,0.01618689876353261,0.45660112359550564,1.2501330517646185e-05
CTNNA1,61,0.00045407901070900955,0.018079878196260623,0.455449705799944,7.443918208344419e-06
JUP,89,0.0010150810158672274,0.024938702303958386,0.45801634263172725,1.1405404672665476e-05
CSE1L,78,0.0006777436282082432,0.02323535324729705,0.44934346924671736,8.689020874464657e-06
MDM2,446,0.023250027349711922,0.07376151680066902,0.5158679784195493,5.213010616527337e-05
TP53,530,0.019868864238201278,0.10512123036866644,0.5239323126510879,3.748842309094581e-05
ATF2,149,0.00180778488991241,0.026274407419640693,0.4605468196628418,1.2132784496056443e-05
CEBPA,96,0.00313552000012338,0.01315030682501294,0.42441253263707573,3.266166666795188e-05
CCND1,98,0.0016259591223395623,0.020648598236636048,0.45924565616612517,1.659141961570982e-05
HDAC3,112,0.0006404247823914448,0.02169985779647563,0.4438831239759694,5.718078414209329e-06
MDC1,94,0.00039384175285030995,0.024224481981483675,0.4460757409440176,4.189805881386276e-06
ERBB2,112,0.0013460918850064598,0.016914833279477463,0.45525836717546564,1.2018677544700535e-05
NCOA6,55,0.00011220742727741945,0.010472988562559384,0.40877656230353326,2.0401350414076263e-06
PIK3R1,123,0.0019853829682467032,0.01803494286011669,0.45717901842216285,1.6141324945095147e-05
RAD51,67,0.00047075452156215055,0.013747155729573234,0.4299127215022481,7.0261868889873215e-06
ABI2,59,0.0004934939254686396,0.008828124326932932,0.427425716539574,8.364303821502365e-06
CTBP1,81,0.0012483529345914187,0.015971772826470814,0.45564120532585844,1.5411764624585414e-05
BCAR1,46,0.00013755170795119392,0.008587624076991476,0.4200258397932817,2.990254520678129e-06
GNA13,28,0.0002250847394746325,0.006229310552958926,0.42040605198499936,8.03874069552259e-06
SFN,154,0.0014902240938112828,0.03574282287955831,0.46918747293981816,9.676779829943395e-06
CDH3,9,2.0959441174503223e-07,0.001684754725593582,0.3624707325231352,2.3288267971670248e-08
ATR,78,0.0007044768617290288,0.015529396262852742,0.4321414329389871,9.031754637551652e-06
GNA12,15,4.972427578681471e-05,0.0029263067812414782,0.3922065387863434,3.3149517191209808e-06
ABL2,34,0.00019926147129464537,0.0072443209339094665,0.4304249966900569,5.8606315086660404e-06
CRKL,65,0.000521544865395252,0.012817435180550257,0.44625943719972544,8.023767159926953e-06
FANCA,64,0.00044394677783727654,0.013425353276595567,0.42270185931608373,6.936668403707446e-06
BRAF,41,7.807326065599091e-05,0.009665616187597316,0.406375,1.904225869658315e-06
RASGRF1,9,1.5714759228749374e-05,0.0014052440707168507,0.3563911422933567,1.7460843587499305e-06
RAF1,117,0.0015562898317177472,0.023776807504717497,0.4669635162309681,1.3301622493314079e-05
CREB1,66,0.0006335465542201796,0.010465862988760522,0.4210594482579977,9.599190215457267e-06
CTBP2,46,0.0006751625162744627,0.008794902512337315,0.432716624517503,1.4677446005966582e-05
GADD45B,7,2.139656190180953e-06,0.0007840731322183057,0.33892827356130106,3.0566517002585045e-07
MAP2K7,52,0.0011263749154411115,0.0070772592423852055,0.41910532422328217,2.166105606617522e-05
TP73,77,0.00034214534220084386,0.017628347411361243,0.4357324755394719,4.443446002608361e-06
RGL4,3,2.776555817748798e-07,0.0002047991812553002,0.31744946782540767,9.25518605916266e-08
