,Node degree,Betweenness centrality,Eigenvector centrality,Closeness centrality,Betweenness/Node degree
HRAS,649,0.024607061225367873,0.01924997368948823,0.5076546233925291,3.7915348575297186e-05
MLLT4,56,0.00011824213639222074,0.007911654871934579,0.4505842920554398,2.111466721289656e-06
CFL1,224,0.0018290693398027424,0.028475256104609072,0.48474807523633173,8.165488124119386e-06
NME1-NME2,38,1.5507136487850975e-05,0.003736509401400041,0.3880480574192542,4.0808253915397305e-07
CDH1,699,0.01894959836979978,0.039016983029543505,0.5245175577348941,2.710958278941313e-05
DCAF4L2,23,2.5223020070547875e-06,0.004110394650688301,0.38786650031191516,1.0966530465455597e-07
GSTP1,131,0.001130264909782348,0.01470921943161598,0.4647729396374509,8.627976410552274e-06
AKT1,467,0.00964330472473875,0.032121385906970744,0.5106251924853711,2.0649474785307815e-05
CCNF,17,6.027391568043308e-06,0.0021835270105480136,0.3933570581257414,3.545524451790181e-07
PRKAA1,148,0.0012192398282781782,0.011613918707650009,0.45961929403067825,8.23810694782553e-06
GLI1,46,6.0312233696514134e-05,0.004590514092152894,0.4082403151674327,1.3111355151416116e-06
BANP,62,0.00024222298886414047,0.005875627240990362,0.43524676233811693,3.906822401034524e-06
MAPK8,220,0.002777458404720835,0.014877811606622342,0.4857421875,1.262481093054925e-05
PIAS3,49,5.281445228875123e-05,0.005037742126289577,0.43866302143046126,1.0778459650765557e-06
PIM1,62,0.0001892276462069785,0.005437413139033333,0.44189765458422176,3.052058809789976e-06
PIAS1,94,0.00017706385814758024,0.00940374727009964,0.45177111716621254,1.8836580653997897e-06
SENP1,45,5.2243763033083204e-05,0.005612942934485247,0.4433550227292985,1.1609725118462934e-06
KMT2D,22,6.528750876981108e-06,0.002944137869133162,0.4069044502617801,2.967614034991413e-07
SERPINB5,60,0.0002357525014603684,0.004467952116392948,0.4260385438972163,3.929208357672807e-06
GSTO1,66,0.0007199761708360986,0.004621299856745687,0.42209775967413443,1.0908729861153009e-05
PASK,54,0.00016155084552285954,0.005217670686440914,0.4228872640707363,2.991682324497399e-06
BRAF,105,0.00016721753599095848,0.011699240599976053,0.45591200733272225,1.5925479618186523e-06
PHB,936,0.015724324218535025,0.09615168187728373,0.5369170984455959,1.6799491686469042e-05
MAP2K7,79,0.0008156673416688739,0.005482724101986547,0.43866302143046126,1.032490305909967e-05
HDAC6,274,0.0013234429436963268,0.035850232503289337,0.4922315685304305,4.830083736117981e-06
STAT3,367,0.009647426105104603,0.023640490117823137,0.4992973298534431,2.6287264591565676e-05
HNRNPL,614,0.01398439977974244,0.04866898597253609,0.5196949117124647,2.2775895406746647e-05
ANXA4,25,0.00043071262572119245,0.002186798573827286,0.3987174348697395,1.72285050288477e-05
CCND1,251,0.0023229528241730814,0.023466294654659988,0.4872171613282398,9.254792128179607e-06
EFNB2,80,0.00094328291040676,0.0021489346821741743,0.4037009982955929,1.17910363800845e-05
TRIO,43,0.00011726532204485776,0.004510867284485052,0.4349422875131165,2.727100512671111e-06
PSCA,3,6.1195733050097035e-06,0.00026659223443977414,0.34334230689583767,2.039857768336568e-06
TNK2,98,0.0013759569201648907,0.0076538609402752025,0.45099283706591714,1.4040376736376436e-05
ZBTB20,16,2.448627908880311e-06,0.002442220712330327,0.3901176470588235,1.5303924430501943e-07
COL23A1,6,1.3329580782076727e-06,0.00032377877000307735,0.34529677195418257,2.221596797012788e-07
IGF2,25,0.0004825881627316914,0.0008555277620051105,0.3653860280614119,1.9303526509267657e-05
MAPK9,145,0.0011969148244348274,0.00830014180851363,0.4590254706533776,8.254584996102257e-06
PSEN1,87,0.0003859643525745806,0.006396608293523283,0.4521818181818182,4.436371868673341e-06
NCSTN,103,0.0003150947063110895,0.009940888750620993,0.4521818181818182,3.059171905932908e-06
MDM2,625,0.015291713402698862,0.04864758992081055,0.518557130942452,2.446674144431818e-05
VEGFA,58,0.000661099664931504,0.004697083404636872,0.4282762183571552,1.1398270085025931e-05
LNX1,142,0.0008594551556369601,0.008948778736580903,0.45001357097620553,6.052501096034931e-06
SERPINB3,53,0.0005790120769352523,0.0049094297326937415,0.43020238713025427,1.0924756168589666e-05
HIF1A,285,0.001309189871024575,0.030235516924427358,0.4926703645007924,4.593648670261667e-06
CEBPA,127,0.0013111919530114262,0.009616540341623384,0.4440278521692555,1.0324346086704144e-05
CFTR,544,0.00468618567263059,0.0489953558443484,0.5086929842503579,8.614311898217996e-06
TPM4,114,0.00037981260374235715,0.01240060130222818,0.45370792666240994,3.331689506511905e-06
FTH1,124,0.001479990502570818,0.0061989098021069085,0.4415446071904128,1.1935407278796919e-05
CAT,127,0.0014911830084352214,0.009453772644872838,0.4583486914854405,1.1741598491615916e-05
RANBP2,143,0.0002095617155143329,0.023025749641723277,0.4734888148500714,1.465466542058272e-06
USP48,29,3.131841916210724e-05,0.003740049578376562,0.4218471715715376,1.0799454883485255e-06
TP53I3,8,2.0582112232567456e-06,0.0008657655465795663,0.3628538079953312,2.572764029070932e-07
ARNT,134,0.00026789040106712137,0.016176126946089366,0.4743015161628683,1.9991820975158312e-06
TARDBP,330,0.0008190502572202121,0.051173838402012777,0.49364827312425563,2.4819704764248855e-06
ALDH2,78,0.00039476601040189615,0.0061636123959851385,0.4342208642514186,5.061102697460207e-06
ATRX,52,6.374371912055388e-05,0.006416329926904322,0.43222106360792495,1.2258407523183438e-06
FOXM1,94,0.00020507530148477376,0.008859563772608714,0.4428813106580002,2.18165214345504e-06
EZH2,443,0.003235871125271732,0.040522162455343035,0.49889669007021065,7.304449492712714e-06
HUWE1,416,0.0018262248312970826,0.05528251054798969,0.5043090337625469,4.3899635367718335e-06
BCAR1,201,0.0007958149897614145,0.019407106922762075,0.47675644589284005,3.959278556026937e-06
CDKN2A,258,0.002870493531317156,0.023949044317545985,0.48908554572271384,1.1125943919833939e-05
CD44,106,0.0002589046885940322,0.00963451892277671,0.4656431379891406,2.442497062207851e-06
CDK4,169,0.0009589296185593676,0.01758028003378732,0.48193004553822305,5.674139754789157e-06
CDK6,115,0.0003750844980932189,0.010573862040234965,0.45953436807095344,3.2616043312453816e-06
CCNE1,90,8.856373654449275e-05,0.008762672688106411,0.4378135727488777,9.840415171610307e-07
EPHA2,122,0.0005636347511621261,0.01093486344521663,0.47639115027296236,4.6199569767387385e-06
STK11,135,0.0007261420536345815,0.010394682156274242,0.47178222517310064,5.378830026922826e-06
CDKN2B,54,3.738000582947626e-05,0.004144898756387652,0.4283868745155456,6.922223301754864e-07
CDKN2C,46,0.00011101847957328131,0.003550954737983305,0.4157472417251755,2.4134452081148112e-06
FGFR4,72,0.00014687756781626187,0.00527985812299105,0.42761348005502064,2.0399662196703037e-06
FZR1,125,0.00042567034988706134,0.008714997786742128,0.4475033738191633,3.4053627990964905e-06
GLIS2,48,3.54966925012994e-05,0.004279022309063788,0.4254554785732615,7.395144271104042e-07
LATS2,142,0.0004442796062612203,0.01223543028903859,0.4733986865898924,3.1287296215578898e-06
MAP2K3,105,0.00010883733087222079,0.014383933137358019,0.46334420121099207,1.0365460083068648e-06
MAP2K5,47,1.2750476093829658e-05,0.004906013255423109,0.4241132332878581,2.7128672540063104e-07
MYC,1297,0.02878832849851575,0.11420814563896443,0.565805937891025,2.2196089821523323e-05
PDGFRA,75,9.812121131624874e-05,0.0065676752931099775,0.44529991047448525,1.3082828175499832e-06
RASSF1,87,0.00015423679191852154,0.008595411261529903,0.45395637492014235,1.7728366887186383e-06
MBP,66,0.00016588153112195373,0.0049742476459593,0.4390114739629303,2.513356532150814e-06
DDX54,101,0.0005507099922095526,0.013746781480962332,0.45395637492014235,5.4525741802926e-06
HSP90AA1,597,0.00778085932988526,0.06403677772034756,0.5246835443037975,1.303326520918804e-05
YWHAZ,542,0.005405309877609816,0.06254812481035271,0.5201840619117339,9.972896453154642e-06
SOX4,39,0.00010821396975471372,0.0041023884063500285,0.43255935298721626,2.774717173197788e-06
ARAF,110,0.00025323357001258277,0.011729926592581888,0.46201003158090287,2.3021233637507525e-06
CBLC,54,5.8556550738245115e-05,0.004464535063960359,0.4264037719674239,1.0843805692267614e-06
CCND2,116,0.00030265431779702,0.009203027209900932,0.44021594831401006,2.6090889465260346e-06
MAP3K5,102,0.0001813492524757444,0.009772699012735659,0.4527580557072638,1.7779338478014156e-06
TEAD2,72,9.573695807986739e-05,0.00620049054897889,0.4334262809341234,1.3296799733314915e-06
TERT,85,9.627847407663502e-05,0.010018881131495606,0.4481081081081081,1.132687930313353e-06
TSC1,82,0.0002562621757543517,0.007974842014366792,0.45193530801381065,3.1251484848091672e-06
ERBB2,266,0.002140937026557393,0.02029021837136269,0.49640718562874253,8.048635438185687e-06
PJA1,51,5.1716441743666424e-05,0.0049533238025362926,0.42549187339606503,1.0140478773267926e-06
HGF,29,1.4826454466310376e-05,0.002733884547478997,0.39990352146647373,5.112570505624267e-07
KAT2A,89,0.00014241210315047516,0.007980738840922527,0.4397489169834674,1.6001359904547771e-06
KDELR2,31,9.867408728931716e-06,0.004114102811741275,0.43195831524099,3.1830350738489405e-07
MAP2K6,38,6.5416843842867e-05,0.0025446922421040715,0.41066710700132103,1.7214958906017632e-06
MAPK14,213,0.0015329094805917518,0.017188906122776165,0.47790161414296695,7.196758124843905e-06
NF1,71,0.0002328295603733176,0.006423307655606921,0.4572111407298465,3.2792895827227827e-06
RAF1,192,0.0010979604471834283,0.017710978489472905,0.4868833202819107,5.718543995747023e-06
ZNF598,259,0.0006013991094939867,0.029476688076493358,0.47263397947548463,2.322004283760566e-06
ARG1,47,0.00022874293724532317,0.007183370345231649,0.4260385438972163,4.866871005219642e-06
SOX3,10,1.7067266376392054e-07,0.0011276559045292618,0.37361977014947795,1.7067266376392056e-08
TNFRSF1A,154,0.0007430567150846828,0.014982803887680146,0.470354609929078,4.825043604445992e-06
TP53,803,0.012903647685784092,0.07653806676723178,0.536685369011653,1.60692997332305e-05
FBXO7,275,0.0017945205981337537,0.028675760442572907,0.4790522970239815,6.525529447759104e-06
PRICKLE2,6,1.5449984273102874e-06,0.0007197797245987159,0.36670598643468005,2.574997378850479e-07
HADH,50,0.00016389018663322074,0.003530267472878965,0.4178778459211963,3.277803732664415e-06
ACTC1,571,0.007827537842866765,0.04761093067788288,0.49984926138076574,1.3708472579451427e-05
ABL1,369,0.008766738099819472,0.024227079390493473,0.49611011370436864,2.3758097831489083e-05
IFT88,59,0.0002038849155214376,0.0043698597167239174,0.4049499307986648,3.455676534261654e-06
BSG,135,0.000831041174950808,0.014212152115122246,0.47173748103186647,6.15586055519117e-06
KRT8,99,0.00028043010132308406,0.012557126624799027,0.4552860411899313,2.832627286091758e-06
HIF1AN,151,0.00040676291866668343,0.012369482267579213,0.449363086096305,2.6937941633555193e-06
YIF1A,24,0.00010965844694241168,0.0008007895731391659,0.3719991025353377,4.56910195593382e-06
EGLN3,683,0.009876845785675065,0.04873568380452969,0.5171553337492202,1.4460974796010345e-05
TRIM14,217,0.0005657225610663821,0.019988051127990767,0.45894076397859385,2.607016410444157e-06
EIF4EBP1,51,9.468605114691309e-05,0.004213354660197313,0.41956980177140446,1.8565892381747665e-06
RMND5A,75,9.439319214014435e-05,0.007840884432928803,0.4248014347937484,1.2585758952019246e-06
HBP1,65,3.144906141557594e-05,0.007443376401434964,0.4119254658385093,4.838317140857838e-07
CA9,29,1.4383421338598249e-05,0.003318057881850742,0.40429163618629604,4.959800461585603e-07
USF2,33,3.198467010214539e-05,0.0030354863554339457,0.40891154225583687,9.692324273377391e-07
PGK1,106,0.00018019855811539132,0.01758013791783104,0.4638627249836799,1.6999863973150123e-06
TMPO,323,0.0010573695218900488,0.04799473364109311,0.4976986191715029,3.273589851052783e-06
CUL1,515,0.0033750282130632094,0.06357153811987296,0.5057962172056132,6.5534528408994355e-06
PTCH1,92,0.0002460013733999602,0.00891641696661847,0.43304892913111614,2.6739279717386977e-06
FGFR1,117,0.0005394927811130395,0.0102257310184273,0.45915258931044034,4.61104941122256e-06
F3,7,2.988174334147539e-06,0.0009481664594968336,0.37474572440292325,4.268820477353627e-07
PTPRD,45,0.00013866282237886263,0.003134421456633066,0.4268062467822207,3.081396052863614e-06
IRS1,122,0.00045568348485255114,0.012085618052528403,0.4733986865898924,3.7351105315782883e-06
PAK4,62,0.00011616374169313472,0.0075793352487389,0.4590254706533776,1.8736087369860438e-06
CDC25C,81,0.0001509912156787649,0.007660238140020666,0.44637889257830027,1.8640890824538875e-06
ACO2,142,0.0003840994182576164,0.0188744882029445,0.46201003158090287,2.7049254806874395e-06
DDX39B,178,0.0002479156030078499,0.027257403146858268,0.4824442289039767,1.3927842865609545e-06
BCL2L1,130,0.00027800603398909655,0.013607700733890017,0.466823087752229,2.1385079537622813e-06
BMP4,74,1.5204837840828694e-05,0.013700019946323425,0.39817483189241115,2.054707816328202e-07
CTNNB1,636,0.007888730971947562,0.06933250301682405,0.5270184361093452,1.2403665050232017e-05
GSK3A,138,0.00021963781786035234,0.018269957692499634,0.46282683539592445,1.5915783902924084e-06
HDAC4,237,0.0008699646528644419,0.02656220745583982,0.489807976366322,3.670736931917476e-06
KRAS,640,0.014322291642918927,0.03771081424340011,0.5182329652010835,2.2378580692060824e-05
NPRL2,35,7.851832253574846e-05,0.004299705219586417,0.4125062199369713,2.2433806438785275e-06
PCBP1,366,0.0015450358327665692,0.055156849568413435,0.5016641452344932,4.2214093791436316e-06
NOP16,49,6.96413548765548e-05,0.007535442132341579,0.4306120682192018,1.421252140337853e-06
PPIE,156,0.0001897822451495489,0.023741151084703028,0.45670737306032505,1.2165528535227495e-06
EXOSC2,76,0.00035930059849986556,0.007984502993134548,0.42658662092624355,4.7276394539456e-06
TGFB1,207,0.0009657397544023656,0.024224187996059528,0.47845325125048094,4.6654094415573215e-06
UBE2L6,70,5.478936283578423e-05,0.009869085872072214,0.43708260105448155,7.827051833683461e-07
YAP1,337,0.0016366847912576612,0.040529454413791514,0.4972508247525742,4.8566314280642766e-06
CASK,68,0.00020154994516339195,0.005742652619694132,0.4406058995482328,2.9639697818145877e-06
DYNLT1,99,0.00017264818932983823,0.008399585761535792,0.44529991047448525,1.7439211043418003e-06
XBP1,23,9.263269904961077e-06,0.0021460636728511196,0.3847462871287129,4.0275086543309027e-07
TRIM72,10,5.359910841321456e-07,0.0006674671932539857,0.35576854302267363,5.359910841321456e-08
UBE2M,412,0.0015499068250919303,0.054302952312243975,0.49869661118909164,3.7619097696406077e-06
PEBP1,109,0.0006512040761300067,0.00729202147658379,0.44150541452156933,5.974349322293639e-06
PYHIN1,207,0.0007928535351148509,0.018429230060279026,0.4522640480087289,3.830210314564497e-06
GLP1R,29,4.1543197438235505e-05,0.0011926987637204533,0.3644223020001465,1.4325240495943278e-06
GJB1,27,7.058735602616788e-05,0.0020423454865644173,0.3946679362056653,2.614346519487699e-06
PRPF8,474,0.001376235406582188,0.07043539244387215,0.5037472149078388,2.9034502248569365e-06
CPS1,64,0.0004065776424599439,0.00828834060818695,0.4307612366848532,6.352775663436623e-06
EFTUD2,934,0.008699281401836614,0.10475971718350377,0.5377878689588064,9.314005783550978e-06
AAR2,475,0.0016122305242771888,0.062181875296869915,0.5017653586199939,3.3941695247940816e-06
PIH1D1,477,0.0016146489024360144,0.06107607137231398,0.4990969295605057,3.3850081812075774e-06
TSC2,103,0.000775415561413132,0.008082555057830513,0.45054347826086955,7.5283064214867186e-06
RPTOR,184,0.0006793340579126301,0.021361887903026542,0.47557127832488766,3.692032923438207e-06
TNIP2,549,0.005398821994540492,0.050786085499626925,0.5094745467581686,9.833919844336051e-06
NKX2-1,119,0.00017519442445734662,0.013630328991369633,0.4497287522603978,1.4722220542634169e-06
RNF4,618,0.01006910295910056,0.0485874986396471,0.5132597255185224,1.629304685938602e-05
SOD2,104,0.0006442738627933099,0.006171708156945935,0.4346762212706458,6.194940988397211e-06
