Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
glucose metabolic process (GO:0006006)	17/64	2.9391135159415546E-18	1.4998296271849754E-14	0	0	20.833333333333336	841.0088263166676	GPI;TPI1;GOT1;MDH1;MDH2;PGAM1;PGAM2;AKR1A1;SORD;ENO1;ENO2;ENO3;ALDH5A1;ALDOC;ALDOA;GAPDH;PGM1
hexose biosynthetic process (GO:0019319)	15/44	4.180628683272296E-18	1.0666874085369263E-14	0	0	26.737967914438503	1069.9483966836574	GPI;TPI1;GOT1;MDH1;MDH2;PGAM1;PGAM2;SORD;ENO1;ENO2;ENO3;ALDOC;ALDOA;GAPDH;PGM1
gluconeogenesis (GO:0006094)	14/41	5.4370192461298964E-17	9.248369737666953E-14	0	0	26.78144428503109	1002.984253353547	GPI;TPI1;GOT1;MDH1;MDH2;PGAM1;PGAM2;ENO1;ENO2;ENO3;ALDOC;ALDOA;GAPDH;PGM1
glycolytic process through glucose-6-phosphate (GO:0061620)	12/25	6.389288361312668E-17	8.151134626944636E-14	0	0	37.64705882352941	1403.8333623065548	GPI;TPI1;PKM;PGAM1;PGAM2;ALDOC;ENO1;ENO2;ALDOA;ENO3;GAPDH;HK1
canonical glycolysis (GO:0061621)	12/25	6.389288361312668E-17	6.520907701555708E-14	0	0	37.64705882352941	1403.8333623065548	GPI;TPI1;PKM;PGAM1;PGAM2;ALDOC;ENO1;ENO2;ALDOA;ENO3;GAPDH;HK1
glucose catabolic process to pyruvate (GO:0061718)	12/25	6.389288361312668E-17	5.434089751296424E-14	0	0	37.64705882352941	1403.8333623065548	GPI;TPI1;PKM;PGAM1;PGAM2;ALDOC;ENO1;ENO2;ALDOA;ENO3;GAPDH;HK1
pyruvate metabolic process (GO:0006090)	13/46	1.2123712050240374E-14	8.838186084625233E-12	0	0	22.16538789428815	710.2591158108555	TPI1;GLO1;PGAM1;PGAM2;ENO2;HK1;LDHB;LDHA;PKM;ALDOA;DLD;PGM1;LDHAL6B
glutathione metabolic process (GO:0006749)	12/49	8.650030158880752E-13	5.51763798759606E-10	0	0	19.207683073229294	533.5134386825273	ALDH5A1;GSTA4;GSTO1;GSTP1;GSTA2;GSTA1;GSTT2;GSTT1;PARK7;GSTT2B;CNDP2;SOD1
glutathione derivative biosynthetic process (GO:1901687)	9/22	3.3273299492720295E-12	1.8865960812372405E-9	0	0	32.08556149732621	847.9845224791072	GSTA4;GSTO1;GSTP1;GSTA2;ESD;GSTA1;AKR1A1;GSTT1;GSTT2B
glutathione derivative metabolic process (GO:1901685)	9/22	3.3273299492720295E-12	1.6979364731135165E-9	0	0	32.08556149732621	847.9845224791072	GSTA4;GSTO1;GSTP1;GSTA2;ESD;GSTA1;AKR1A1;GSTT1;GSTT2B
glycolytic process (GO:0006096)	9/23	5.405907568221239E-12	2.507849665512089E-9	0	0	30.69053708439898	796.2208316998084	LDHA;TPI1;PKM;PGAM1;PGAM2;ENO2;ALDOA;PGM1;HK1
ATP generation from ADP (GO:0006757)	9/24	8.553847692864007E-12	3.637523731390419E-9	0	0	29.411764705882355	749.5482326956609	LDHA;TPI1;PKM;PGAM1;PGAM2;ENO2;ALDOA;PGM1;HK1
interleukin-12-mediated signaling pathway (GO:0035722)	11/46	1.0493686473271747E-11	4.119175544085056E-9	0	0	18.75532821824382	474.13933607260543	MTAP;ANXA2;GSTO1;GSTA2;CFL1;MSN;LCP1;P4HB;SOD2;PPIA;SOD1
cellular response to interleukin-12 (GO:0071349)	11/46	1.0493686473271747E-11	3.8249487195075515E-9	0	0	18.75532821824382	474.13933607260543	MTAP;ANXA2;GSTO1;GSTA2;CFL1;MSN;LCP1;P4HB;SOD2;PPIA;SOD1
nicotinamide nucleotide metabolic process (GO:0046496)	10/45	2.0512311682044517E-10	6.978288434231543E-8	0	0	17.429193899782135	388.8001873151061	LDHA;TPI1;PKM;PGAM1;PGAM2;ENO2;ALDOA;DLD;PGM1;HK1
carbohydrate catabolic process (GO:0016052)	9/35	4.0876916057790964E-10	1.3037181415181706E-7	0	0	20.168067226890756	435.9906659250584	LDHA;TPI1;PKM;PGAM1;PGAM2;ENO2;ALDOA;PGM1;HK1
cellular response to oxidative stress (GO:0034599)	13/115	2.6706588727580916E-9	8.016689545696789E-7	0	0	8.86615515771526	175.02624255072084	SRXN1;GSTP1;PARK7;TXN;SOD2;PRDX6;SOD1;PRDX2;PRDX5;CCS;PRDX1;CAT;P4HB
hydrogen peroxide metabolic process (GO:0042743)	7/20	3.3940897846121755E-9	9.622244539375517E-7	0	0	27.45098039215686	535.3278882977805	PRDX2;PRDX5;PRDX1;CAT;PARK7;PRDX6;SOD1
