Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
mitochondrial matrix (GO:0005759)	29/308	4.3711556217533335E-17	1.9495354073019868E-14	0	0	7.384772090654445	278.1763829157087	FH;OAT;ACAA2;DLST;ABAT;ETFA;ETFB;HSD17B10;PRDX5;ALDH2;ALDH1B1;THEM4;MDH2;GPT2;SOD2;HSPE1;SOD1;ALDH4A1;NUDT9;ALDH6A1;ALDH5A1;PPA2;MTHFD2;GARS;ACO2;ALDH7A1;DLD;LDHAL6B;BCAT2
cytoplasmic vesicle lumen (GO:0060205)	18/129	5.42689263948477E-14	1.2101970586051038E-11	0	0	10.943912448700411	334.27988607052947	GPI;DBNL;IDH1;PGAM1;GSTP1;AGL;NME2;HSPH1;PKM;CAT;COTL1;PGM2;ALDOC;S100P;ALDOA;PPIA;S100A8;S100A11
ficolin-1-rich granule lumen (GO:1904813)	16/123	4.274989780616851E-12	6.355484807183718E-10	0	0	10.20245496572613	267.08230860173234	GPI;DBNL;IDH1;PGAM1;GSTP1;AGL;NME2;PKM;CAT;COTL1;PGM2;ALDOC;CAPN1;ALDOA;PPIA;PGM1
mitochondrion (GO:0005739)	43/1026	4.839693097551703E-12	5.396257803770149E-10	0	0	3.2870848144325957	85.6422659246043	FH;OAT;ACAA2;GSTP1;DLST;ABAT;ETFA;IDE;PARK7;ETFB;NOL3;HSD17B10;ACAT2;HK1;PRDX5;ALDH1B1;RFK;KYNU;THEM4;BID;YKT6;FAHD1;MDH1;PPTC7;GPX4;MDH2;SOD2;HSPE1;PRDX6;SOD1;NUDT9;ALDH6A1;ALDH5A1;PKM;MTHFD2;CAT;GARS;UBA1;CIAPIN1;ACO2;ALDH7A1;DLD;BCAT2
secretory granule lumen (GO:0034774)	21/317	8.362644380681056E-10	7.459478787567502E-8	0	0	5.195769159398776	108.60236309198197	FGB;GPI;DBNL;ANXA2;PGAM1;GSTP1;AGL;IDH1;NME2;PRDX6;PKM;CAT;COTL1;PGM2;ALDOC;S100P;ALDOA;ACAA1;PPIA;S100A11;S100A8
ficolin-1-rich granule (GO:0101002)	16/184	1.908625607207025E-9	1.4187450346905552E-7	0	0	6.820119352088661	136.92673439922564	GPI;DBNL;IDH1;PGAM1;GSTP1;AGL;NME2;PKM;CAT;COTL1;PGM2;ALDOC;CAPN1;ALDOA;PPIA;PGM1
peroxisome (GO:0005777)	12/92	2.0956081166196374E-9	1.3352017428747974E-7	0	0	10.230179028132993	204.43398521974214	PECR;PRDX5;ACOX1;IDH1;PEX5;CAT;HSD17B4;TYSND1;IDE;VIM;ACAA1;SOD1
microbody (GO:0042579)	12/92	2.0956081166196374E-9	1.1683015250154478E-7	0	0	10.230179028132993	204.43398521974214	PECR;PRDX5;ACOX1;IDH1;PEX5;CAT;HSD17B4;TYSND1;IDE;VIM;ACAA1;SOD1
focal adhesion (GO:0005925)	19/356	1.7147710622989158E-7	8.497643264281294E-6	0	0	4.185944040537564	65.21205228945131	PDIA3;ANXA1;PDCD6IP;RDX;MSN;HSPB1;RAB10;CSRP1;CFL1;CAT;CAPN2;CAPN1;LCP1;VIM;P4HB;EZR;PFN1;PPIB;PPIA
peroxisomal part (GO:0044439)	9/75	4.664811043727749E-7	2.080505725502576E-5	0	0	9.411764705882353	137.20516068306108	PECR;ACOX1;IDH1;PEX5;CAT;HSD17B4;TTC1;IDE;ACAA1
shelterin complex (GO:0070187)	4/7	8.7657296947933E-7	3.554104948979829E-5	0	0	44.817927170868344	625.0866503115108	TINF2;TERF2IP;POT1;TERF1
peroxisomal matrix (GO:0005782)	6/42	1.4461016487242762E-5	5.374677794425226E-4	0	0	11.204481792717086	124.86335066907026	ACOX1;IDH1;CAT;HSD17B4;IDE;ACAA1
microbody lumen (GO:0031907)	6/42	1.4461016487242762E-5	4.961241041007901E-4	0	0	11.204481792717086	124.86335066907026	ACOX1;IDH1;CAT;HSD17B4;IDE;ACAA1
nuclear telomere cap complex (GO:0000783)	4/13	1.6857665314289658E-5	5.370370521552277E-4	0	0	24.13273001508296	265.23571860787047	TINF2;POT1;TERF2IP;TERF1
peroxisomal membrane (GO:0005778)	5/40	1.4803554985043065E-4	0.004401590348886138	0	0	9.803921568627452	86.45155011129282	PECR;CAT;PEX5;HSD17B4;TTC1
microvillus (GO:0005902)	5/42	1.8745023555792067E-4	0.005225175316177039	0	0	9.337068160597573	80.13069241959971	SLC9A3R1;RDX;MSN;EZR;TBC1D10A
actin-based cell projection (GO:0098858)	6/70	2.684175654353724E-4	0.00704201377553977	0	0	6.722689075630252	55.280448470709025	SLC9A3R1;RDX;MSN;LCP1;EZR;TBC1D10A
tertiary granule lumen (GO:1904724)	5/55	6.700678816620536E-4	0.016602793067848662	0	0	7.130124777183601	52.10788973117904	DBNL;IDH1;ALDOC;ALDOA;PGM1
chromosome, telomeric region (GO:0000781)	7/124	0.0010709021851648135	0.02513801971492141	0	0	4.427577482605946	30.281326220404846	PTGES3;TINF2;LIG4;TERF2IP;POT1;TERF1;CDC73
cytoskeleton (GO:0005856)	16/520	0.001097749297440087	0.02447980933291394	0	0	2.413273001508296	16.445232672151008	IQCB1;MSN;DSTN;HSPB1;TBCA;SLC9A3R1;NSFL1C;ARHGDIA;ALDOC;LCP1;VIM;EZR;ALDOA;GAPDH;S100A8;PGM1
actin cytoskeleton (GO:0015629)	11/294	0.001450570365001356	0.03080735156145737	0	0	2.9345071361878086	19.17934717671652	SLC9A3R1;ANXA1;PDCD6IP;WDR1;RDX;CAPN2;DSTN;LCP1;EZR;ALDOA;PGM1
nuclear chromosome, telomeric region (GO:0000784)	6/107	0.0025038624891776523	0.050760121371510585	0	0	4.398020890599231	26.34379656389158	TINF2;LIG4;TERF2IP;POT1;TERF1;CDC73
oxoglutarate dehydrogenase complex (GO:0045252)	2/7	0.003259819300257056	0.06321214817020204	0	0	22.408963585434172	128.3155969637823	DLST;DLD
perinuclear region of cytoplasm (GO:0048471)	12/378	0.003504585294421967	0.06512687672134156	0	0	2.489884842826019	14.077019816439803	TPD52;SLC9A3R1;PRDX5;STC2;CAPN2;MSN;PARK7;LCP1;EZR;PPIB;PRDX6;CLIC1
cortical cytoskeleton (GO:0030863)	4/52	0.004325163210224273	0.07716091167040103	0	0	6.03318250377074	32.840454919108645	WDR1;RDX;CAPN2;EZR
actin filament (GO:0005884)	4/55	0.005289468160310825	0.09073472305763954	0	0	5.704099821746881	29.901105596973053	ANXA1;WDR1;LCP1;EZR
pseudopodium (GO:0031143)	2/9	0.005494938311701476	0.09076824025995771	0	0	17.429193899782135	90.70026871371739	CAPN2;MSN
filopodium (GO:0030175)	4/60	0.007198516222284703	0.11466207982639207	0	0	5.228758169934641	25.798067212736278	RDX;MSN;LCP1;EZR
lipid droplet (GO:0005811)	4/64	0.009016998744414034	0.1386752220692641	0	0	4.901960784313726	23.08158692995543	ANXA2;PLA2G4A;PLIN3;GAPDH
invadopodium (GO:0071437)	2/12	0.00982339451171058	0.14604113174076394	0	0	13.071895424836601	60.431222785055255	MSN;EZR
endoplasmic reticulum subcompartment (GO:0098827)	2/14	0.013319348268796338	0.19162675251236022	0	0	11.204481792717086	48.3869752810755	FKBP1A;RAB10
chromosomal region (GO:0098687)	4/76	0.01618403410035334	0.22556497527367467	0	0	4.12796697626419	17.022621556564715	PTGES3;TINF2;TERF2IP;POT1
membrane raft (GO:0045121)	5/119	0.018283808535472703	0.2471084426309341	0	0	3.295435821387379	13.187475334537904	ACE2;LDHB;ANXA2;CAPN2;SERPINH1
actomyosin (GO:0042641)	3/48	0.023246298684881317	0.3049367415722667	0	0	4.901960784313726	18.43926154887768	PDCD6IP;WDR1;LCP1
cortical actin cytoskeleton (GO:0030864)	3/52	0.02862787723525772	0.36480094991214124	0	0	4.524886877828055	16.07861677552116	WDR1;RDX;CAPN2
endoplasmic reticulum exit site (GO:0070971)	2/24	0.03717084379685369	0.4605054537054652	0	0	6.5359477124183005	21.517847019034292	PDCD6IP;PDCD6
sarcoplasmic reticulum (GO:0016529)	2/29	0.05246771448720642	0.6324486665214611	0	0	5.409060175794456	15.943514594725018	FKBP1A;SRI
endoplasmic reticulum lumen (GO:0005788)	7/270	0.058456603434051166	0.6860959245154427	0	0	2.0334059549745827	5.773796471079769	PDIA3;LGALS1;STC2;ESD;SERPINH1;P4HB;PPIB
sarcoplasm (GO:0016528)	2/31	0.05911203309597279	0.6759991477129196	0	0	5.0600885515496525	14.31155354641412	FKBP1A;SRI
tertiary granule (GO:0070820)	5/164	0.059259398205392645	0.6607422899901281	0	0	2.391200382592061	6.757127910199286	DBNL;IDH1;ALDOC;ALDOA;PGM1
intermediate filament cytoskeleton (GO:0045111)	3/71	0.06223109760063297	0.6769529153629831	0	0	3.3140016570008286	9.202652668603506	NSFL1C;VIM;S100A8
insulin-responsive compartment (GO:0032593)	1/7	0.08591991289942771	0.9123876465034467	0	0	11.204481792717086	27.49960405560182	RAB10
extrinsic component of external side of plasma membrane (GO:0031232)	1/7	0.08591991289942771	0.8911693291429015	0	0	11.204481792717086	27.49960405560182	ANXA1
early phagosome (GO:0032009)	1/7	0.08591991289942771	0.8709154807532901	0	0	11.204481792717086	27.49960405560182	SNX3
extrinsic component of endosome membrane (GO:0031313)	1/7	0.08591991289942771	0.851561803403217	0	0	11.204481792717086	27.49960405560182	ANXA1
phagocytic vesicle (GO:0045335)	3/83	0.08975584249302783	0.870241429388922	0	0	2.8348688873139616	6.833911144768651	PDIA3;SNX3;ANXA3
heterochromatin (GO:0000792)	2/41	0.09606405308420869	0.9115865462884485	0	0	3.825920612147298	8.963137600685531	UBE2B;UBA1
microvillus membrane (GO:0031528)	1/8	0.09757849431533867	0.9066668430133552	0	0	9.803921568627452	22.814687793846783	SLC9A3R1
perinuclear endoplasmic reticulum (GO:0097038)	1/8	0.09757849431533867	0.888163438053899	0	0	9.803921568627452	22.814687793846783	CAPN2
Cdc73/Paf1 complex (GO:0016593)	1/8	0.09757849431533867	0.870400169292821	0	0	9.803921568627452	22.814687793846783	CDC73
cell cortex part (GO:0044448)	2/44	0.10816183748287389	0.9458858728894461	0	0	3.5650623885918007	7.929150368162972	ENO1;EZR
primary lysosome (GO:0005766)	1/10	0.12045316552223109	1.0	0	0	7.843137254901961	16.599955054648323	HEXA
endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	3/95	0.12143071224669315	1.0	0	0	2.476780185758514	5.222071698926601	SERPINH1;P4HB;YKT6
cell cortex region (GO:0099738)	1/11	0.1316729803945433	1.0	0	0	7.130124777183601	14.455856338931785	ENO1
ribonuclease P complex (GO:0030677)	1/11	0.1316729803945433	1.0	0	0	7.130124777183601	14.455856338931785	HSD17B10
ruffle membrane (GO:0032587)	2/53	0.14654129311878106	1.0	0	0	2.959674435812061	5.6839009277077945	ARF4;NME1
COPII vesicle coat (GO:0030127)	1/13	0.15368670623834874	1.0	0	0	6.03318250377074	11.299180234063185	PDCD6
germ plasm (GO:0060293)	1/13	0.15368670623834874	1.0	0	0	6.03318250377074	11.299180234063185	CARHSP1
mitochondrial intermembrane space (GO:0005758)	2/57	0.16438530574074828	1.0	0	0	2.7519779841761265	4.968812332972247	COX17;SOD1
MHC class II protein complex (GO:0042613)	1/14	0.1644842034500625	1.0	0	0	5.602240896358543	10.111712834996391	HLA-DMB
cytoplasmic exosome (RNase complex) (GO:0000177)	1/15	0.17514447672471037	1.0	0	0	5.228758169934641	9.109250009826615	CARHSP1
secretory vesicle (GO:0099503)	1/16	0.18566926318182222	1.0	0	0	4.901960784313726	8.253864426467867	RAB10
P granule (GO:0043186)	1/16	0.18566926318182222	1.0	0	0	4.901960784313726	8.253864426467867	CARHSP1
exocytic vesicle (GO:0070382)	1/16	0.18566926318182222	1.0	0	0	4.901960784313726	8.253864426467867	RAB10
endoplasmic reticulum tubular network (GO:0071782)	1/17	0.19606027806945792	1.0	0	0	4.61361014994233	7.517107847114225	RAB10
MHC protein complex (GO:0042611)	1/18	0.20631921499415187	1.0	0	0	4.357298474945534	6.877258048862402	HLA-DMB
endocytic vesicle lumen (GO:0071682)	1/18	0.20631921499415187	1.0	0	0	4.357298474945534	6.877258048862402	HSPH1
platelet alpha granule lumen (GO:0031093)	2/67	0.2103817759993032	1.0	0	0	2.341235001463272	3.649590676834313	FGB;ALDOA
mitochondrial envelope (GO:0005740)	2/69	0.21974322035299523	1.0	0	0	2.2733731173628873	3.44483226946006	COX17;SOD1
fibrillar center (GO:0001650)	3/131	0.23408419822507937	1.0	0	0	1.796138302649304	2.608126460475904	UBE2N;EZR;TERF1
nuclear chromosome part (GO:0044454)	7/392	0.23509304569544318	1.0	0	0	1.4005602240896358	2.027694543517711	UBE2B;TINF2;POT1;LIG4;TERF2IP;TERF1;CDC73
early endosome membrane (GO:0031901)	2/73	0.2385611076920944	1.0	0	0	2.1488047273704	3.079516056370245	SNX3;ANXA1
telomerase holoenzyme complex (GO:0005697)	1/22	0.24606731342240737	1.0	0	0	3.5650623885918007	4.9987527582236115	PTGES3
pre-autophagosomal structure (GO:0000407)	1/23	0.255690526626552	1.0	0	0	3.4100596760443307	4.650596576821454	ATG101
calcium channel complex (GO:0034704)	1/24	0.2651913843191082	1.0	0	0	3.2679738562091503	4.337593165629635	FKBP1B
ribonucleoprotein granule (GO:0035770)	2/80	0.27164485772372116	1.0	0	0	1.9607843137254903	2.555411246959709	PCBP1;LIG4
replication fork (GO:0005657)	1/26	0.2838322123931632	1.0	0	0	3.01659125188537	3.7990106088850406	UBE2B
mitotic spindle (GO:0072686)	2/84	0.29054652398132624	1.0	0	0	1.8674136321195145	2.3081074960118095	IQCB1;CAPG
nucleolar part (GO:0044452)	3/153	0.3098391138302332	1.0	0	0	1.5378700499807767	1.8019255730381485	UBE2N;EZR;TERF1
