Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cadherin binding (GO:0045296)	36/313	5.579589979044234E-24	6.4221080658799136E-21	0	0	9.02086074046232	483.003287550055	CAPG;ENO1;PARK7;PCMT1;LDHA;ATIC;PPME1;BAG3;PRDX1;PCBP1;ARFIP1;CLIC1;YKT6;TBC1D10A;S100A11;CAST;LYPLA2;RANBP1;NUDC;ANXA1;DBNL;ANXA2;IDH1;RDX;PRDX6;PAICS;RAB10;CCS;PKM;GLOD4;PLIN3;TAGLN2;S100P;EZR;PFN1;ALDOA
aldehyde dehydrogenase (NAD) activity (GO:0004029)	8/14	1.7585811677136734E-12	1.012063462019219E-9	0	0	44.817927170868344	1213.0650436618073	ALDH4A1;ALDH1B1;ALDH2;ALDH1A2;ALDH1A1;ALDH16A1;ALDH7A1;ADH5
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)	9/25	1.3217656657455394E-11	5.071174270910385E-9	0	0	28.235294117647058	707.2790838944616	ALDH4A1;ALDH6A1;ALDH5A1;ALDH1B1;ALDH2;ALDH1A2;ALDH1A1;ALDH16A1;ALDH7A1
glutathione transferase activity (GO:0004364)	8/30	2.8735365771086705E-9	8.268601500630199E-7	0	0	20.915032679738562	411.3510548276687	GSTA4;GSTO1;GSTP1;GSTA2;GSTA1;GSTT2;GSTT1;GSTT2B
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	11/88	1.571142077422248E-8	3.616769062226015E-6	0	0	9.803921568627452	176.16547010978678	LDHB;LDHA;SPR;MDH1;MDH2;AKR1A1;SORD;HSD17B4;HSD17B10;ADH5;LDHAL6B
RNA binding (GO:0003723)	42/1387	1.399401374357171E-7	2.6845183031418395E-5	0	0	2.3749946986725474	37.48228768605007	DAZAP1;ACAA2;PEBP1;HSPB1;ENO1;TXN;PARK7;NOL3;HSD17B10;STIP1;LGALS1;PCBP3;CSRP1;PRDX1;PCBP1;SERPINH1;ANXA7;PDIA3;CAST;EIF5A;DUT;ANXA2;MDH2;RDX;MSN;TBCA;PUS7;HSPE1;NME1;ALDH6A1;PKM;ZC3H11A;FUBP1;UBE2N;UBA1;VIM;P4HB;EZR;PFN1;ALDOA;PPIB;PPIA
protein homodimerization activity (GO:0042803)	26/664	4.2393429756580057E-7	6.97069109283195E-5	0	0	3.071107961256792	45.064478048620124	SHMT1;PDCD6;RPE;HSD17B4;HSPB1;ABAT;ENO1;IDE;PARK7;ATIC;STC2;KYNU;S100A11;TPD52;PDCD6IP;IDH1;RDX;ASNS;TERF1;PRDX6;SOD1;ALDH5A1;GSTA4;XPNPEP1;CAT;S100P
hydro-lyase activity (GO:0016836)	7/45	1.513995588104068E-6	2.178261152384728E-4	0	0	12.200435729847495	163.49509057801285	FH;HSD17B4;PARK7;ENO1;ACO2;ENO2;ENO3
transition metal ion binding (GO:0046914)	18/399	4.021106053785637E-6	5.142547853230297E-4	0	0	3.5382574082264484	43.959145706923216	C11ORF54;GDA;GLO1;COX17;SORD;IDE;PARK7;SOD2;CRIP1;ADH5;SOD1;ACE2;DUSP12;CCS;CSRP1;XPNPEP1;ACO2;S100A8
metal ion binding (GO:0046872)	19/442	4.34766149461313E-6	5.004158380299713E-4	0	0	3.371484340342472	41.62391561571408	TPD52;DUT;ANXA1;PDCD6;IDH1;RPE;PLA2G4A;SRI;NOL3;SOD2;HSPE1;NME1;MTHFD2;PIR;S100P;CAPN1;LCP1;S100A8;PGM1
