Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Glycolysis / Gluconeogenesis	24/68	1.0372119641495956E-28	3.194612849580754E-26	0	0	27.681660899653984	1783.6912468974824	GPI;TPI1;PGAM1;PGAM2;AKR1A1;ENO1;ENO2;ENO3;ADH5;HK1;LDHB;LDHA;PKM;ALDH2;ALDH1B1;PGM2;ALDOC;ALDOA;ALDH7A1;DLD;GAPDH;PGM1;LDHAL6A;LDHAL6B
Pyruvate metabolism	14/39	2.3805155937309033E-17	3.665994014345591E-15	0	0	28.154851684263452	1077.6728260013813	FH;MDH1;MDH2;GLO1;ACAT2;LDHB;LDHA;PKM;ALDH1B1;ALDH2;ALDH7A1;DLD;LDHAL6A;LDHAL6B
Valine, leucine and isoleucine degradation	12/48	6.605677053683918E-13	6.781828441782156E-11	0	0	19.607843137254903	549.9152307836558	ALDH6A1;ACAA2;ALDH1B1;ALDH2;HMGCS1;ABAT;ACAA1;HSD17B10;ALDH7A1;DLD;ACAT2;BCAT2
Cysteine and methionine metabolism	10/47	3.2557863844891664E-10	2.5069555160566582E-8	0	0	16.68752607425949	364.5459673038256	LDHB;LDHA;MTAP;AHCY;GOT1;MDH1;MDH2;LDHAL6A;BCAT2;LDHAL6B
Glutathione metabolism	10/56	2.0245971500142715E-9	1.247151844408791E-7	0	0	14.00560224089636	280.36267639276343	GPX4;GSTA4;GSTO1;GSTP1;IDH1;GSTA2;GSTA1;GSTT2;GSTT1;GSTT2B
Propanoate metabolism	8/32	5.051531443498522E-9	2.5931194743292413E-7	0	0	19.607843137254903	374.5798898724249	LDHB;LDHA;ALDH6A1;ABAT;DLD;ACAT2;LDHAL6A;LDHAL6B
Peroxisome	11/83	8.381035926319541E-9	3.6876558075805986E-7	0	0	10.394519253484528	193.3099337804873	PECR;PRDX5;ACOX1;PRDX1;IDH1;PEX5;CAT;HSD17B4;ACAA1;SOD2;SOD1
Alanine, aspartate and glutamate metabolism	8/35	1.0936044732188996E-8	4.2103772218927635E-7	0	0	17.92717086834734	328.6265841509831	ALDH4A1;ALDH5A1;GOT1;GPT2;GFPT1;ASNS;GPT;ABAT
Drug metabolism	12/108	1.3451628014807278E-8	4.603446031734046E-7	0	0	8.714596949891067	157.94479909569017	DUT;GSTA4;GSTO1;GSTP1;GSTA2;GSTA1;NME2;GSTT2;GSTT1;GSTT2B;ADH5;NME1
Tryptophan metabolism	8/42	5.077653798262518E-8	1.5639173698648558E-6	0	0	14.939309056956116	250.91811674746742	ALDH1B1;ALDH2;KYNU;CAT;DLST;ALDH7A1;DLD;ACAT2
Fatty acid degradation	8/44	7.458600085679204E-8	2.088408023990177E-6	0	0	14.260249554367203	234.02941894362175	ACAA2;ALDH1B1;ALDH2;ACOX1;ACAA1;ALDH7A1;ACAT2;ADH5
Citrate cycle (TCA cycle)	7/30	7.994357246012987E-8	2.051885026476667E-6	0	0	18.300653594771244	299.06827076536564	FH;MDH1;MDH2;IDH1;DLST;ACO2;DLD
Glyoxylate and dicarboxylate metabolism	7/30	7.994357246012987E-8	1.8940477167476924E-6	0	0	18.300653594771244	299.06827076536564	MDH1;MDH2;SHMT1;CAT;ACO2;DLD;ACAT2
Pentose phosphate pathway	7/30	7.994357246012987E-8	1.7587585941228572E-6	0	0	18.300653594771244	299.06827076536564	GPI;RPE;PGM2;ALDOC;ALDOA;TKT;PGM1
Chemical carcinogenesis	10/82	9.098652396725352E-8	1.8682566254609389E-6	0	0	9.564801530368245	155.06986542006362	SULT1A1;GSTA4;GSTO1;GSTP1;GSTA2;GSTA1;GSTT2;GSTT1;GSTT2B;ADH5
Arginine and proline metabolism	8/49	1.7963302659985287E-7	3.4579357620471678E-6	0	0	12.805122048819527	198.89363499934075	ALDH4A1;OAT;ALDH2;ALDH1B1;GOT1;CKB;ALDH7A1;CNDP2
Metabolism of xenobiotics by cytochrome P450	9/74	4.1507733748215303E-7	7.5202247026178305E-6	0	0	9.538950715421304	140.17298230873487	GSTA4;GSTO1;GSTP1;GSTA2;GSTA1;GSTT2;GSTT1;GSTT2B;ADH5
beta-Alanine metabolism	6/31	2.282446654234566E-6	3.905519830579146E-5	0	0	15.180265654648958	197.19563713683726	ALDH6A1;ALDH1B1;ALDH2;ABAT;ALDH7A1;CNDP2
Amino sugar and nucleotide sugar metabolism	7/48	2.3777889406444706E-6	3.854521019571036E-5	0	0	11.437908496732028	148.11336050709318	GPI;GNPDA2;HEXA;GFPT1;PGM2;PGM1;HK1
Fluid shear stress and atherosclerosis	10/139	1.2007058726593911E-5	1.8490870438954622E-4	0	0	5.6425447876992525	63.93012190096166	GSTA4;GSTO1;GSTP1;GSTA2;GSTA1;GSTT2;PLAT;GSTT1;TXN;GSTT2B
Purine metabolism	9/129	4.189873909899208E-5	6.145148401185506E-4	0	0	5.471956224350206	55.15871313046131	NUDT9;ATIC;PKM;GDA;NME2;PGM2;PAICS;PGM1;NME1
Glucagon signaling pathway	8/103	5.2390605523617716E-5	7.334684773306481E-4	0	0	6.091757091185989	60.045129360660844	ATF2;LDHB;LDHA;PKM;PGAM1;PGAM2;LDHAL6A;LDHAL6B
Fructose and mannose metabolism	5/33	5.74208550769419E-5	7.689401462477437E-4	0	0	11.883541295306003	116.04400465549757	TPI1;SORD;ALDOC;ALDOA;HK1
Starch and sucrose metabolism	5/36	8.840974300964899E-5	0.001134591701957162	0	0	10.893246187363836	101.67242243303521	GPI;AGL;PGM2;PGM1;HK1
Lysine degradation	6/59	1.0365793655272982E-4	0.0012770657783296314	0	0	7.976071784646063	73.17578585297716	ALDH2;ALDH1B1;DLST;ALDH7A1;DLD;ACAT2
Arginine biosynthesis	4/21	1.302172241985872E-4	0.0015425732712755714	0	0	14.939309056956116	133.6516384183405	GOT1;ACY1;GPT2;GPT
Glycine, serine and threonine metabolism	5/40	1.4803554985043065E-4	0.0016887018279234311	0	0	9.803921568627452	86.45155011129282	SHMT1;PGAM1;PGAM2;ALDH7A1;DLD
Central carbon metabolism in cancer	6/65	1.7829996909758845E-4	0.001961299660073473	0	0	7.239819004524888	62.49443045366256	LDHA;PKM;PGAM1;IDH1;PGAM2;HK1
