Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cellular protein metabolic process (GO:0044267)	33/484	7.181472539240422E-22	3.664705436774387E-18	0	0	8.741258741258742	425.5713950594935	SERPINA1;PLAT;PLG;TGM1;C3;NPPA;SPP1;GPC3;IGFBP7;IGFBP6;TIMP1;TGM5;TGM3;IGFBP1;FGA;IGFBP5;IGFBP4;AHSG;IGFBP3;IGFBP2;FGG;SFTPD;IGF2;APOA1;IGF1;CP;TF;ALB;SEMG1;FAM20C;L2HGDH;SFTPA1;LTF
platelet degranulation (GO:0002576)	16/124	2.262720492130854E-15	5.7733313356718735E-12	0	0	16.542597187758478	557.8529122908474	FGA;ECM1;SERPINA1;AHSG;FGG;IGF2;VEGFB;APOA1;PLG;IGF1;THBS1;VEGFA;TF;MMRN1;ALB;TIMP1
regulated exocytosis (GO:0045055)	16/148	3.8800322723256154E-14	6.599934895225873E-11	0	0	13.860013860013861	428.0020489356391	FGA;ECM1;SERPINA1;AHSG;FGG;IGF2;VEGFB;APOA1;PLG;IGF1;THBS1;VEGFA;TF;MMRN1;ALB;TIMP1
extracellular matrix disassembly (GO:0022617)	12/78	9.214886342042188E-13	1.1755891250860322E-9	0	0	19.723865877712033	546.603273212878	CAPNS2;CTSL;CTSK;MMP3;SPP1;PLG;CTSV;TIMP1;CTSS;DCN;KLK7;ELANE
negative regulation of endopeptidase activity (GO:0010951)	12/83	1.9875105660273467E-12	2.02845328368751E-9	0	0	18.535681186283597	499.42795611040145	SERPINB3;SERPINA12;SERPINB4;CST1;SERPINA1;AHSG;TIMP1;SERPINB7;CST6;AGT;LTF;CST4
retina homeostasis (GO:0001895)	9/38	1.137693142164523E-11	9.676080174109268E-9	0	0	30.364372469635626	765.1649808763863	IGHG3;TF;AZGP1;IGKC;ZG16B;ALB;IGHA1;CST4;LTF
regulation of insulin-like growth factor receptor signaling pathway (GO:0043567)	7/17	2.7936557559012363E-11	2.0365750460520013E-8	0	0	52.790346907993964	1282.8627062308108	IGFBP1;IGFBP5;IGFBP4;IGFBP3;IGFBP2;IGF1;IGFBP6
cellular protein modification process (GO:0006464)	31/1001	3.595059260389872E-11	2.2931984257211896E-8	0	0	3.9703885857732013	95.48338097559923	FLG;SPRR3;SERPINA1;PLAT;ALOX12B;EVPL;THBS1;TGM1;C3;SPP1;GPC3;IGFBP7;TIMP1;TGM5;TGM3;IGFBP1;FGA;IGFBP5;IGFBP4;AHSG;IGFBP3;PLK2;FGG;APOA1;CP;TF;ALB;FAM20C;FBXL4;CDK15;IVL
post-translational protein modification (GO:0043687)	19/357	4.977948403922789E-11	2.8224967450242218E-8	0	0	6.823242117359764	161.8706261198757	IGFBP1;FGA;SERPINA1;IGFBP5;IGFBP4;AHSG;IGFBP3;FGG;APOA1;CP;C3;TF;ALB;SPP1;GPC3;FAM20C;IGFBP7;TIMP1;FBXL4
extracellular matrix organization (GO:0030198)	15/229	3.4777030536367016E-10	1.774671868270809E-7	0	0	8.397715821296607	182.89787450567812	FGA;FGG;MMP3;PLG;CTSV;THBS1;KLK7;CTSS;DCN;CAPNS2;CTSL;CTSK;SPP1;TIMP1;ELANE
negative regulation of peptidase activity (GO:0010466)	9/62	1.2075818106464322E-9	5.602081799753403E-7	0	0	18.61042183622829	382.15842395673855	SERPINB3;SERPINA12;SERPINB4;ECM1;SERPINA1;AHSG;TIMP1;SERPINB7;AGT
regulation of endopeptidase activity (GO:0052548)	9/68	2.819075500264966E-9	1.198811856487677E-6	0	0	16.968325791855204	334.0530007216983	SERPINB3;SERPINA12;SERPINB4;SERPINA1;AHSG;A2ML1;TIMP1;SERPINB7;AGT
pattern recognition receptor signaling pathway (GO:0002221)	8/48	3.3127923576187305E-9	1.3003984154560296E-6	0	0	21.367521367521366	417.2109912526686	FGA;CTSL;CTSK;SFTPD;FGG;LBP;SFTPA1;CTSS
defense response to bacterium (GO:0042742)	14/241	6.514706832300004E-9	2.3746106403733515E-6	0	0	7.447600808596659	140.3813441683489	GSDMB;SFTPD;MPO;IGHG3;IGHG4;IGHG1;IGKC;SEMG2;SEMG1;LBP;IGHA1;ELANE;CAMP;LTF
antibacterial humoral response (GO:0019731)	7/35	8.588628594611491E-9	2.921851447886829E-6	0	0	25.641025641025642	476.22632730974055	FGA;SEMG2;SFTPD;SEMG1;IGHA1;CAMP;LTF
peptide cross-linking (GO:0018149)	7/47	7.427543207698897E-8	2.3689220618054668E-5	0	0	19.094380796508457	313.4435329745838	FLG;TGM1;SPRR3;THBS1;EVPL;TGM3;IVL
toll-like receptor signaling pathway (GO:0002224)	8/86	3.6271014652067967E-7	1.0887705162911932E-4	0	0	11.926058437686345	176.85941342971304	FGA;CTSL;CTSK;SFTPD;FGG;LBP;SFTPA1;CTSS
proteolysis (GO:0006508)	13/291	4.876242012943856E-7	1.3824146106695831E-4	0	0	5.72737686139748	83.24009626043205	MMP3;PLAT;PLG;CTSV;ASPRV1;CTSS;PCSK4;CTSL;MMP26;CTSK;PRSS3;ELANE;CPA4
skin development (GO:0043588)	8/94	7.219187991703074E-7	1.9389219116663575E-4	0	0	10.911074740861975	154.29736138463218	TGM1;FLG;SPRR3;ALOX12B;EVPL;ASPRV1;TGM3;IVL
negative regulation of proteolysis (GO:0045861)	6/41	7.337546215766895E-7	1.8721749169529233E-4	0	0	18.76172607879925	265.01109131806083	SERPINB3;SERPINB4;ECM1;PLAT;TIMP1;CST4
neutrophil degranulation (GO:0043312)	16/479	1.1178418804263513E-6	2.7163557694360335E-4	0	0	4.282425994325785	58.6868395652451	SERPINB3;ASAH1;SERPINA1;CALML5;ARG1;AHSG;MPO;CTSS;C3;GM2A;FTH1;PRSS3;ACPP;ELANE;CAMP;LTF
regulation of smooth muscle cell proliferation (GO:0048660)	6/44	1.1299502807447828E-6	2.6209710375639213E-4	0	0	17.482517482517483	239.39400219491128	IGFBP5;IGFBP3;HMOX1;IGF1;THBS1;ELANE
neutrophil activation involved in immune response (GO:0002283)	16/483	1.2459248406216984E-6	2.7643280268228377E-4	0	0	4.2469607686999	57.74011768305655	SERPINB3;ASAH1;SERPINA1;CALML5;ARG1;AHSG;MPO;CTSS;C3;GM2A;FTH1;PRSS3;ACPP;ELANE;CAMP;LTF
neutrophil mediated immunity (GO:0002446)	16/487	1.3871096659542782E-6	2.949341927235284E-4	0	0	4.212078134049387	56.81372443632491	SERPINB3;ASAH1;SERPINA1;CALML5;ARG1;AHSG;MPO;CTSS;C3;GM2A;FTH1;PRSS3;ACPP;ELANE;CAMP;LTF
epidermis development (GO:0008544)	7/81	3.290425298321595E-6	6.716416118934041E-4	0	0	11.079455523899968	139.87251681029684	FLG;CASP14;SPRR3;CALML5;TGM5;EVPL;KLK7
fibrinolysis (GO:0042730)	4/16	6.025153581319912E-6	0.001182552258672135	0	0	32.05128205128205	385.24255090502993	FGA;FGG;PLAT;PLG
keratinocyte differentiation (GO:0030216)	6/59	6.550036805065061E-6	0.0012379569561572965	0	0	13.037809647979142	155.6198160265841	TGM1;FLG;SPRR3;EVPL;TGM3;IVL
surfactant homeostasis (GO:0043129)	3/6	9.150793218674133E-6	0.001667732064103361	0	0	64.1025641025641	743.6967943505625	SFTPD;SFTPA1;VEGFA
chemical homeostasis within a tissue (GO:0048875)	3/6	9.150793218674133E-6	0.0016102240618929003	0	0	64.1025641025641	743.6967943505625	SFTPD;SFTPA1;VEGFA
regulation of peptidase activity (GO:0052547)	4/18	1.0007755875728272E-5	0.0017023192744613789	0	0	28.49002849002849	327.981486552992	SERPINB3;SERPINB4;ECM1;A2ML1
regulation of smooth muscle cell migration (GO:0014910)	4/18	1.0007755875728272E-5	0.0016474057494787538	0	0	28.49002849002849	327.981486552992	NRP1;IGFBP5;IGFBP3;IGF1
regulation of heterotypic cell-cell adhesion (GO:0034114)	4/19	1.2599666166993678E-5	0.0020092530140677733	0	0	26.99055330634278	304.50311036547566	FGA;IL1RN;FGG;APOA1
