Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
secretory granule lumen (GO:0034774)	24/317	4.3297799687540254E-17	1.9310818660642953E-14	0	0	9.70638194612958	365.72123130993236	SERPINB3;FGA;ECM1;SERPINA1;ARG1;AHSG;FGG;IGF2;VEGFB;APOA1;PLG;IGF1;MPO;THBS1;VEGFA;C3;TF;GM2A;MMRN1;ALB;TIMP1;ELANE;CAMP;LTF
platelet alpha granule lumen (GO:0031093)	13/67	4.202239013969432E-15	9.370993001151832E-13	0	0	24.875621890547265	823.4616645050689	FGA;SERPINA1;AHSG;FGG;VEGFB;IGF2;PLG;IGF1;THBS1;VEGFA;MMRN1;ALB;TIMP1
platelet alpha granule (GO:0031091)	13/90	2.3350104329036845E-13	3.471382176916811E-11	0	0	18.51851851851852	538.6220342547915	FGA;SERPINA1;AHSG;FGG;VEGFB;IGF2;PLG;IGF1;THBS1;VEGFA;MMRN1;ALB;TIMP1
endoplasmic reticulum lumen (GO:0005788)	19/270	3.727708262645613E-13	4.1563947128498586E-11	0	0	9.02184235517569	258.18539356453016	IGFBP1;FGA;SERPINA1;IGFBP5;IGFBP4;AHSG;IGFBP3;FGG;APOA1;CP;THBS1;C3;TF;ALB;SPP1;GPC3;FAM20C;IGFBP7;TIMP1
vacuolar lumen (GO:0005775)	13/161	4.219223921750027E-10	3.763547738201024E-8	0	0	10.351966873706004	223.4596244679469	SERPINB3;ASAH1;ARG1;CTSV;MPO;CTSS;DCN;C3;GM2A;CTSL;CTSK;GPC3;ELANE
lysosomal lumen (GO:0043202)	8/86	3.6271014652067967E-7	2.6961454224703855E-5	0	0	11.926058437686345	176.85941342971304	ASAH1;GM2A;CTSL;CTSK;GPC3;CTSV;CTSS;DCN
tertiary granule lumen (GO:1904724)	6/55	4.323851152088574E-6	2.754910876902149E-4	0	0	13.986013986013987	172.7463508033722	ASAH1;FTH1;PRSS3;CTSS;CAMP;LTF
azurophil granule lumen (GO:0035578)	6/90	7.420478070759892E-5	0.00413691652444864	0	0	8.547008547008547	81.27078615252064	SERPINB3;C3;GM2A;ARG1;MPO;ELANE
lysosome (GO:0005764)	12/422	1.2155437148937257E-4	0.006023694409362241	0	0	3.645643456069996	32.86601856840201	ASAH1;GM2A;CTSL;CTSK;SFTPD;GPC3;CTSV;ACPP;MPO;CP;CTSS;DCN
lamellar body (GO:0042599)	3/15	1.9770315814565995E-4	0.008817560853296434	0	0	25.641025641025642	218.6857398328461	SFTPD;SFTPA1;KLK7
azurophil granule (GO:0042582)	7/154	2.0908361405150297E-4	0.008477390169724576	0	0	5.827505827505828	49.375153372802735	C3;SERPINB3;GM2A;ARG1;ACPP;MPO;ELANE
endolysosome (GO:0036019)	3/20	4.81365021138088E-4	0.01789073328563227	0	0	19.23076923076923	146.90162876840682	CTSL;CTSK;CTSS
