Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
insulin-like growth factor II binding (GO:0031995)	6/7	1.4215981216415387E-12	1.636259438009411E-9	0	0	109.89010989010988	2997.7186197109863	IGFBP1;IGFBP5;IGFBP4;IGFBP3;IGFBP2;IGFBP6
serine-type peptidase activity (GO:0008236)	16/220	1.812554684264398E-11	1.043125220794161E-8	0	0	9.324009324009324	230.61723771575106	MMP3;PLAT;PLG;CTSV;KLK10;KLK7;CTSS;IGHG3;C3;IGHG4;IGHG1;IGKC;CTSL;CTSK;PRSS3;ELANE
endopeptidase inhibitor activity (GO:0004866)	12/111	6.713831409826169E-11	2.5758733175699733E-8	0	0	13.860013860013861	324.66065467685763	SERPINB3;SERPINA12;SERPINB4;CST1;SERPINA1;AHSG;TIMP1;SERPINB7;CST6;AGT;LTF;CST4
insulin-like growth factor I binding (GO:0031994)	6/13	3.35309761474394E-10	9.648538386425687E-8	0	0	59.1715976331361	1290.8855828533513	IGFBP1;IGFBP5;IGFBP4;IGFBP3;IGFBP2;IGFBP6
serine-type endopeptidase activity (GO:0004252)	14/196	4.449721648618943E-10	1.0243259235120805E-7	0	0	9.157509157509157	197.18873064643628	MMP3;PLAT;PLG;CTSV;CTSS;IGHG3;C3;IGHG4;IGHG1;IGKC;CTSL;CTSK;PRSS3;ELANE
insulin-like growth factor binding (GO:0005520)	6/14	5.830277095853793E-10	1.1184414895546193E-7	0	0	54.94505494505494	1168.2849671099764	IGFBP1;IGFBP5;IGFBP4;IGFBP3;IGFBP2;IGFBP6
endopeptidase activity (GO:0004175)	17/354	2.627154576074671E-9	4.319792738659924E-7	0	0	6.156743444879039	121.64102429146449	MMP3;PLAT;PLG;CTSV;ASPRV1;KLK7;CTSS;IGHG3;C3;IGHG4;CASP14;IGHG1;IGKC;CTSL;CTSK;PRSS3;ELANE
protease binding (GO:0002020)	10/118	2.9546169073071762E-8	4.2509550753882E-6	0	0	10.864841373315949	188.36714193498275	SERPINB3;SERPINB4;ECM1;CST1;SERPINA1;SEMG2;TIMP1;CST6;ELANE;CST4
peptidase activity, acting on L-amino acid peptides (GO:0070011)	10/185	1.9621748679627127E-6	2.5094036366945355E-4	0	0	6.930006930006931	91.07038858898629	CASP14;CTSL;CTSK;MMP3;PLG;CTSV;PRSS3;KLK10;KLK7;ELANE
serine-type endopeptidase inhibitor activity (GO:0004867)	6/56	4.811724266646934E-6	5.538294630910621E-4	0	0	13.736263736263735	168.19306404792835	SERPINB3;SERPINA12;SERPINB4;SERPINA1;SERPINB7;AGT
protein-glutamine gamma-glutamyltransferase activity (GO:0003810)	3/7	1.5922183571647894E-5	0.001666039390087884	0	0	54.94505494505494	607.0218257104597	TGM1;TGM5;TGM3
vascular endothelial growth factor receptor binding (GO:0005172)	3/9	3.777693906090379E-5	0.003623438071591689	0	0	42.73504273504273	435.20562902845114	VEGFB;PGF;VEGFA
cysteine-type endopeptidase activity (GO:0004197)	6/81	4.097293515822046E-5	0.003627680643623981	0	0	9.49667616334283	95.94110947128232	CASP14;CAPNS2;CTSL;CTSK;CTSV;CTSS
cysteine-type endopeptidase inhibitor activity (GO:0004869)	5/51	4.761408487499855E-5	0.003914557977937381	0	0	12.56913021618904	125.09278456211192	SERPINB3;CST1;CST6;LTF;CST4
collagen binding (GO:0005518)	5/52	5.235013423500565E-5	0.0040170003002994335	0	0	12.327416173570022	121.51819596237091	CTSL;CTSK;PCOLCE;THBS1;CTSS
cysteine-type peptidase activity (GO:0008234)	5/65	1.5336590219696674E-4	0.011032759589294295	0	0	9.861932938856016	86.6142403754609	CASP14;CTSL;CTSK;CTSV;CTSS
manganese ion binding (GO:0030145)	4/35	1.544570289017271E-4	0.01045764942740517	0	0	14.652014652014651	128.58014110472863	ARG2;ARG1;ME1;FAM20C
growth factor activity (GO:0008083)	5/69	2.035150426140122E-4	0.013013656336040447	0	0	9.29022668153103	78.96479595256744	VEGFB;IGF2;PGF;AGT;VEGFA
transferase activity, transferring amino-acyl groups (GO:0016755)	3/16	2.419368778952955E-4	0.014656281392499216	0	0	24.03846153846154	200.16427165803842	TGM1;TGM5;TGM3
immunoglobulin receptor binding (GO:0034987)	5/81	4.3046082398907697E-4	0.02477302042057138	0	0	7.9138968027856915	61.337877804876236	IGHG3;IGHG4;IGHG1;IGKC;IGHA1
vascular endothelial growth factor receptor 2 binding (GO:0043184)	2/6	8.883122339049933E-4	0.04868797053450701	0	0	42.73504273504273	300.26441290667566	VEGFB;VEGFA
glutathione transferase activity (GO:0004364)	3/30	0.0016191794360833108	0.08471252413326777	0	0	12.820512820512821	82.38250998716842	GSTA4;GSTA2;GSTA1
signal recognition particle binding (GO:0005047)	2/8	0.0016412534852413947	0.08213403310925414	0	0	32.05128205128205	205.52227592374595	TF;LTF
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines (GO:0016813)	2/10	0.002610828604653701	0.12521098849818377	0	0	25.641025641025642	152.51506756369344	ARG2;ARG1
peptidase inhibitor activity (GO:0030414)	3/36	0.0027518778023382833	0.12669645401965457	0	0	10.683760683760683	62.9858094350106	AHSG;GPC3;A2ML1
hormone activity (GO:0005179)	4/83	0.004059539859078202	0.17971270683842347	0	0	6.178560395427866	34.02338984858714	NPPA;IGF2;IGF1;AGT
transition metal ion binding (GO:0046914)	9/399	0.004166677751830055	0.1776239293465331	0	0	2.891844997108155	15.849150557855166	ARG2;ZNF185;ARG1;FTH1;ALB;ME1;FAM20C;TIMP1;LTF
