Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Fluid shear stress and atherosclerosis	9/139	1.4647401943421258E-6	4.5113997985737474E-4	0	0	8.301051466519093	111.51493641091427	CALML5;GSTA4;CTSL;GSTA2;GSTA1;HMOX1;CALML3;PLAT;VEGFA
Complement and coagulation cascades	6/79	3.5544907480077144E-5	0.00547391575193188	0	0	9.737098344693282	99.7537844350709	C3;FGA;SERPINA1;FGG;PLAT;PLG
HIF-1 signaling pathway	6/100	1.3327255127012488E-4	0.013682648597066154	0	0	7.6923076923076925	68.63934053028247	TF;NPPA;HMOX1;IGF1;TIMP1;VEGFA
Phagosome	7/152	1.9293097464682517E-4	0.014855685047805538	0	0	5.904183535762483	50.49953318271286	C3;CTSL;SFTPD;SFTPA1;MPO;THBS1;CTSS
Renin secretion	5/69	2.035150426140122E-4	0.01253652662502315	0	0	9.29022668153103	78.96479595256744	CALML5;NPR1;NPPA;CALML3;AGT
Ferroptosis	4/40	2.615527400783986E-4	0.013426373990691126	0	0	12.820512820512821	105.75480271659453	TF;FTH1;HMOX1;CP
Lysosome	6/123	4.102284573070291E-4	0.018050052121509282	0	0	6.253908692933083	48.77296022831417	ASAH1;GM2A;CTSL;CTSK;CTSV;CTSS
Salivary secretion	5/90	6.980713591939843E-4	0.026875747328968396	0	0	7.122507122507122	51.76060702724466	CST1;CALML5;CALML3;CAMP;CST4
Pathways in cancer	12/530	9.421411391519853E-4	0.032242163428756826	0	0	2.9027576197387517	20.224544166510306	CALML5;GSTA4;GSTA2;GSTA1;IGF2;VEGFB;HMOX1;CALML3;IGF1;PGF;AGT;VEGFA
Focal adhesion	7/199	9.707280014141043E-4	0.029898422443554413	0	0	4.509728127818581	31.28607766866032	TNXB;SPP1;VEGFB;IGF1;THBS1;PGF;VEGFA
Aldosterone synthesis and secretion	5/98	0.0010262353523499378	0.028734589865798257	0	0	6.541077969649399	45.014770867894576	CALML5;NPR1;NPPA;CALML3;AGT
Proteoglycans in cancer	7/201	0.001028877282218442	0.026407850243606677	0	0	4.464855211123868	30.715020805929175	CTSL;IGF2;GPC3;IGF1;THBS1;DCN;VEGFA
Rap1 signaling pathway	7/206	0.0011862850955580739	0.02810583149476052	0	0	4.356484939009211	29.349328082068904	CALML5;VEGFB;CALML3;IGF1;THBS1;PGF;VEGFA
Staphylococcus aureus infection	4/68	0.001968533879959307	0.043307745359104755	0	0	7.541478129713424	46.98692486180121	C3;FGG;PLG;CAMP
Ras signaling pathway	7/232	0.002332991787320844	0.04790409803298799	0	0	3.8682581786030066	23.443980240495677	CALML5;IGF2;VEGFB;CALML3;IGF1;PGF;VEGFA
Tuberculosis	6/179	0.0028393925889673554	0.054658307337621594	0	0	4.297378599054577	25.200537717267583	C3;CALML5;CALML3;LBP;CTSS;CAMP
Pertussis	4/76	0.0029557272261970264	0.05355082268639318	0	0	6.747638326585695	39.29831685671991	C3;CALML5;CALML3;SFTPA1
Transcriptional misregulation in cancer	6/186	0.003430429400966907	0.05869845863876707	0	0	4.1356492969396195	23.470098576731207	IGFBP3;MMP3;PLAT;IGF1;MPO;ELANE
Vascular smooth muscle contraction	5/132	0.0037850234950443794	0.061357222972298356	0	0	4.856254856254856	27.081891922604136	CALML5;NPR1;NPPA;CALML3;AGT
Rheumatoid arthritis	4/91	0.0056282926853073	0.08667570735373241	0	0	5.635390250774867	29.191034859818593	CTSL;CTSK;MMP3;VEGFA
PI3K-Akt signaling pathway	8/354	0.006710521194196329	0.09842097751487949	0	0	2.897291032884253	14.498272220101954	TNXB;IGF2;SPP1;VEGFB;IGF1;THBS1;PGF;VEGFA
Amoebiasis	4/96	0.006789744552483162	0.09505642373476428	0	0	5.3418803418803416	26.66849337209255	SERPINB3;SERPINB4;ARG2;ARG1
Mineral absorption	3/51	0.007371633892686215	0.09871579299771105	0	0	7.541478129713424	37.02953169139409	TF;FTH1;HMOX1
Glutathione metabolism	3/56	0.0095389526565233	0.12241655909204903	0	0	6.868131868131868	31.953101538325637	GSTA4;GSTA2;GSTA1
Drug metabolism	4/108	0.010197291122415915	0.12563062662816407	0	0	4.748338081671415	21.77413661062326	GSTA4;GSTA2;GSTA1;MPO
Hepatocellular carcinoma	5/168	0.010292201611423902	0.12192300370456007	0	0	3.8156288156288154	17.461724647493085	GSTA4;GSTA2;GSTA1;IGF2;HMOX1
Arginine biosynthesis	2/21	0.011518494030446988	0.13139615412509897	0	0	12.21001221001221	54.50306909381621	ARG2;ARG1
Kaposi sarcoma-associated herpesvirus infection	5/186	0.015420555758667055	0.16962611334533761	0	0	3.4463744141163497	14.378459712153065	C3;CALML5;CCR8;CALML3;VEGFA
p53 signaling pathway	3/72	0.018755781282920856	0.19919933224619393	0	0	5.3418803418803416	21.24066901176335	IGFBP3;IGF1;THBS1
Phototransduction	2/28	0.02000940628139407	0.20542990448897916	0	0	9.157509157509157	35.82008060367619	CALML5;CALML3
Metabolism of xenobiotics by cytochrome P450	3/74	0.020158664782888948	0.20028608881063856	0	0	5.1975051975051985	20.291689547712227	GSTA4;GSTA2;GSTA1
Glioma	3/75	0.020881234951626984	0.20098188640940973	0	0	5.128205128205129	19.840535243712022	CALML5;CALML3;IGF1
Apelin signaling pathway	4/137	0.0225014558869369	0.21001358827807773	0	0	3.743215422047539	14.202415368815373	CALML5;SPP1;CALML3;PLAT
Apoptosis	4/143	0.02582907156709059	0.23398100125482063	0	0	3.586157432311279	13.111904667372242	CTSL;CTSK;CTSV;CTSS
Chemical carcinogenesis	3/82	0.026333939539162427	0.23173866794462938	0	0	4.690431519699812	17.058614891996577	GSTA4;GSTA2;GSTA1
ECM-receptor interaction	3/82	0.026333939539162427	0.22530148272394523	0	0	4.690431519699812	17.058614891996577	TNXB;SPP1;THBS1
