Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
hexose biosynthetic process (GO:0019319)	20/44	3.1014884169519405E-23	1.5826895391705751E-19	0	0	23.736055067647754	1230.1821744148826	GPI;TPI1;GOT1;MDH1;MDH2;PGAM1;GOT2;PGAM2;SORD;ENO1;BPGM;ENO2;ENO3;PGK1;GAPDHS;ALDOC;ALDOA;GAPDH;PGM1;PCK2
gluconeogenesis (GO:0006094)	19/41	2.449434053818374E-22	6.249730988317581E-19	0	0	24.19919760555308	1204.1766361616556	GPI;TPI1;GOT1;MDH1;MDH2;PGAM1;GOT2;PGAM2;ENO1;BPGM;ENO2;ENO3;PGK1;GAPDHS;ALDOC;ALDOA;GAPDH;PGM1;PCK2
glucose metabolic process (GO:0006006)	22/64	3.4048185208869295E-22	5.791596304028667E-19	0	0	17.950391644908617	887.3180229450118	GPI;TPI1;GOT1;MDH1;MDH2;PGAM1;PGAM2;GOT2;AKR1A1;SORD;ENO1;BPGM;ENO2;ENO3;ALDH5A1;GAPDHS;PGK1;ALDOC;ALDOA;GAPDH;PGM1;PCK2
glycolytic process through glucose-6-phosphate (GO:0061620)	15/25	3.569157400976838E-20	4.5533525542962007E-17	0	0	31.331592689295036	1403.009054227122	GPI;TPI1;PGAM1;PGAM2;ENO1;BPGM;ENO2;ENO3;PKM;PGK1;GAPDHS;ALDOC;ALDOA;GAPDH;PFKP
canonical glycolysis (GO:0061621)	15/25	3.569157400976838E-20	3.6426820434369606E-17	0	0	31.331592689295036	1403.009054227122	GPI;TPI1;PGAM1;PGAM2;ENO1;BPGM;ENO2;ENO3;PKM;PGK1;GAPDHS;ALDOC;ALDOA;GAPDH;PFKP
glucose catabolic process to pyruvate (GO:0061718)	15/25	3.569157400976838E-20	3.0355683695308005E-17	0	0	31.331592689295036	1403.009054227122	GPI;TPI1;PGAM1;PGAM2;ENO1;BPGM;ENO2;ENO3;PKM;PGK1;GAPDHS;ALDOC;ALDOA;GAPDH;PFKP
pyruvate metabolic process (GO:0006090)	15/46	3.878607346897145E-15	2.8275047558880183E-12	0	0	17.02803950505165	565.0465473422432	TPI1;GLO1;PGAM1;PGAM2;BPGM;ENO2;LDHB;LDHA;PKM;PGK1;ALDOA;DLD;PGM1;PCK2;LDHAL6B
dicarboxylic acid metabolic process (GO:0043648)	16/59	1.2413905284424022E-14	7.918519833301974E-12	0	0	14.161171836969508	453.44014383059	ACOT8;PHYH;FH;GOT1;MDH1;MDH2;GPT2;IDH1;GOT2;IDH2;ACLY;ALDH5A1;MTHFD2;SUCLG1;SLC25A32;NIT2
fatty acid beta-oxidation (GO:0006635)	14/50	3.5340424546634183E-13	2.0038020717941582E-10	0	0	14.62140992167102	419.2128391712831	ACOT8;ACAA2;ECHS1;ECI1;ETFA;CROT;ACAT2;ACAT1;ACOX1;NDUFAB1;ACOX3;HADH;ACAA1;DECR2
monocarboxylic acid metabolic process (GO:0032787)	18/108	2.3315552941456505E-12	1.1897926666025256E-9	0	0	8.703220191470843	233.11127556848075	PNPLA8;GLO1;GOT2;CROT;ALDH4A1;LDHB;GRHPR;LDHA;ALDH5A1;KYNU;ALDH1A2;ACOT1;THEM4;ACAA1;NIT2;DLD;PCK2;LDHAL6B
glutathione metabolic process (GO:0006749)	13/49	5.354721383055274E-12	2.484103928884642E-9	0	0	13.854105610912773	359.5561909255355	GSTK1;G6PD;GPX1;GSTO1;GSTP1;GSTT2;GSTT1;PARK7;CNDP2;SOD1;ALDH5A1;ETHE1;GSTT2B
glycolytic process (GO:0006096)	10/23	5.40739112947933E-12	2.2994930778110853E-9	0	0	22.704052673402202	589.0170137480042	LDHA;TPI1;PKM;PGAM1;PGAM2;PGK1;BPGM;ENO2;ALDOA;PGM1
nucleobase-containing small molecule interconversion (GO:0015949)	11/31	6.612501558473099E-12	2.5956611886837094E-9	0	0	18.529436536679864	476.98585010299115	DUT;RRM1;AK1;NME2;CMPK1;AK3;AK4;NME2P1;TXN;TYMS;NME1
fatty acid oxidation (GO:0019395)	13/50	7.111981375571886E-12	2.5923172113959523E-9	0	0	13.577023498694517	348.5118778839604	PECR;PHYH;ACAA2;ECHS1;ECI1;CROT;ACAT2;ACAT1;ACOX1;NDUFAB1;HACL1;HADH;ACAA1
ATP generation from ADP (GO:0006757)	10/24	9.112889727944309E-12	3.100205085446654E-9	0	0	21.75805047867711	553.1186085946395	LDHA;TPI1;PKM;PGAM1;PGAM2;PGK1;BPGM;ENO2;ALDOA;PGM1
