Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
mitochondrial matrix (GO:0005759)	56/308	2.515981081550469E-38	1.1221275623715093E-35	0	0	9.494422027059104	821.985005594307	ACAA2;ECI1;ABAT;ACSM5;ETFA;TXN2;GCSH;ABHD10;ALDH2;HADH;GSTK1;GPX1;GPT2;GLRX5;ALDH5A1;PPA2;MTHFD2;LACTB2;ETHE1;FDX1;PPIF;SUCLG2;SUCLG1;ALDH7A1;DLD;FXN;BCAT2;FH;ECHS1;OAT;AK3;AK4;TYMS;HSD17B10;ACAT1;HMGCL;PRDX5;GRPEL1;PITRM1;THEM4;PCK2;MDH2;GOT2;IDH2;HSPE1;SOD2;ACSF2;SOD1;CS;NUDT9;ALDH4A1;ALDH6A1;SUCLA2;NDUFAB1;ACO2;LDHAL6B
mitochondrion (GO:0005739)	83/1026	7.739860801082882E-30	1.725988958641483E-27	0	0	4.224370034456609	283.1644620646088	FEN1;CLIC4;ACAA2;ECI1;ABAT;ETFA;IDE;PARK7;TRIAP1;TXN2;GCSH;NFU1;ABHD10;HINT2;ABHD11;RFK;KYNU;PMPCB;PMPCA;HADH;DNM1L;TGM2;GSTK1;MAP2K2;GPX1;PPTC7;GPX4;GLRX5;REXO2;ALDH5A1;PKM;TST;MTHFD2;ETHE1;FDX1;CAT;PPIF;SUCLG2;SUCLG1;ALDH7A1;DLD;FXN;BCAT2;FH;OAT;ECHS1;DIABLO;GSTP1;HTRA2;AK3;AK4;TYMS;HSD17B10;ACAT2;ACAT1;HMGCL;PRDX5;GRPEL1;PITRM1;THEM4;HARS;YKT6;PCK2;RAB11FIP5;C21ORF33;FAHD1;MDH1;MDH2;IDH2;GOT2;SOD2;HSPE1;PRDX6;SOD1;CS;NUDT9;ALDH6A1;SUCLA2;NDUFAB1;MSRB2;CYCS;SLC25A32;ACO2
peroxisome (GO:0005777)	23/92	1.345687301080925E-19	2.000588454273642E-17	0	0	13.054830287206267	567.2612516949123	PECR;GSTK1;PHYH;PNPLA8;IDH1;EPHX2;TYSND1;IDE;CROT;SOD1;HMGCL;LACC1;PRDX5;ACOX1;ZADH2;PEX5;CAT;ISOC1;LONP2;HACL1;ACOX3;ACAA1;DNM1L
microbody (GO:0042579)	23/92	1.345687301080925E-19	1.5004413407052315E-17	0	0	13.054830287206267	567.2612516949123	PECR;GSTK1;PHYH;PNPLA8;IDH1;EPHX2;TYSND1;IDE;CROT;SOD1;HMGCL;LACC1;PRDX5;ACOX1;ZADH2;PEX5;CAT;ISOC1;LONP2;HACL1;ACOX3;ACAA1;DNM1L
peroxisomal part (GO:0044439)	19/75	1.5870118697583642E-16	1.415614587824461E-14	0	0	13.228894691035684	481.2606877447325	PECR;ACOT8;PHYH;MAP2K2;PNPLA8;IDH1;IDE;CROT;GRHPR;ACOX1;IMPDH2;PEX5;CAT;NUDT19;LONP2;HACL1;ACOX3;ACAA1;DECR2
ficolin-1-rich granule lumen (GO:1904813)	20/123	2.2370983386346896E-13	1.662909765051786E-11	0	0	8.490946528264239	247.32791243566663	GPI;IDH1;PGAM1;GSTP1;NME2;HBB;GNS;ACLY;PKM;IMPDH2;CAT;COTL1;PGM2;ALDOC;CAPN1;ALDOA;PPIA;PGM1;PAFAH1B2;CTSB
peroxisomal matrix (GO:0005782)	13/42	5.873750752045831E-13	3.742418336303486E-11	0	0	16.16312321273157	455.2038623932423	ACOT8;PHYH;IDH1;IDE;CROT;GRHPR;ACOX1;CAT;NUDT19;LONP2;HACL1;ACOX3;ACAA1
microbody lumen (GO:0031907)	13/42	5.873750752045831E-13	3.2746160442655504E-11	0	0	16.16312321273157	455.2038623932423	ACOT8;PHYH;IDH1;IDE;CROT;GRHPR;ACOX1;CAT;NUDT19;LONP2;HACL1;ACOX3;ACAA1
secretory granule lumen (GO:0034774)	28/317	1.999609519150098E-11	9.909176061566042E-10	0	0	4.6124321519466935	113.62949895019713	APP;GPI;SPARC;GSTP1;GNS;COTL1;PGM2;A2M;ACAA1;S100A11;CTSC;FGB;TGFB2;PGAM1;IDH1;NME2;PRDX6;ACLY;PKM;IMPDH2;CAT;ALDOC;NHLRC2;ALDOA;PPIA;NIT2;PAFAH1B2;S100A8
cytoplasmic vesicle lumen (GO:0060205)	18/129	5.1158173265997704E-11	2.2816545276634977E-9	0	0	7.2864169044872185	172.65965520298317	GPI;SPARC;IDH1;PGAM1;GSTP1;NME2;HBB;PKM;IMPDH2;CAT;COTL1;PGM2;ALDOC;ALDOA;PPIA;S100A8;S100A11;PAFAH1B2
