Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cadherin binding (GO:0045296)	31/313	7.526110189482329E-14	8.66255282809416E-11	0	0	5.171881647327722	156.28295231508568	HDLBP;ARHGAP18;CAPG;UBFD1;ENO1;PARK7;BZW1;NDRG1;PCMT1;LDHA;ATIC;PPME1;PRDX1;CLIC1;YKT6;S100A11;LYPLA2;RANBP1;ANXA1;IDH1;RDX;PRDX6;PAICS;CCS;EIF5;PKM;GLOD4;PLIN3;TAGLN2;ALDOA;PFKP
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	17/88	7.814180833588472E-13	4.497061069730166E-10	0	0	10.087823403750296	281.22497222592284	G6PD;MDH1;MDH2;ADH1A;AKR1A1;SORD;PGD;HSD17B10;ADH5;LDHB;GRHPR;LDHA;SPR;ZADH2;IMPDH2;HADH;LDHAL6B
transition metal ion binding (GO:0046914)	31/399	4.39948023643964E-11	1.6879339173806754E-8	0	0	4.057140239633025	96.75041888391547	CUTA;C11ORF54;GDA;GLO1;COX17;IDE;PARK7;CRIP1;ADH5;NFU1;NPEPPS;DUSP12;HMGCL;IMPA1;CSRP1;GPC1;PMPCB;PMPCA;PCK2;SORD;SOD2;SOD1;ACE2;LACC1;CCS;LACTB2;ETHE1;FDX1;MSRB2;ACO2;S100A8
disulfide oxidoreductase activity (GO:0015036)	9/24	3.198874237049968E-10	9.204760617111284E-8	0	0	19.582245430809397	428.12764979673216	PDIA3;CCS;TXNL1;PGK1;TXNDC12;TXN;PDIA6;PDIA4;TXNDC17
intramolecular transferase activity, phosphotransferases (GO:0016868)	6/11	2.0205204088486283E-8	4.651237981169542E-6	0	0	28.483266081177305	504.6473003819643	PGAM1;PGAM2;PGM3;PGM2;BPGM;PGM1
aldehyde dehydrogenase (NAD) activity (GO:0004029)	6/14	1.2508309061655247E-7	2.399510621660865E-5	0	0	22.37970906378217	355.7095321643443	ALDH4A1;ALDH2;ALDH1A2;ALDH1A1;ALDH7A1;ADH5
oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor (GO:0016668)	5/8	1.3400857242359948E-7	2.2034838122794714E-5	0	0	32.637075718015666	516.493540004284	TXNL1;PGK1;TXN;DLD;TXNDC17
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)	7/25	3.1919549247499305E-7	4.592425147983963E-5	0	0	14.62140992167102	218.69918464652923	ALDH4A1;ALDH6A1;ALDH5A1;ALDH2;ALDH1A2;ALDH1A1;ALDH7A1
metal ion binding (GO:0046872)	26/442	4.646043526670075E-7	5.941773443552507E-5	0	0	3.0717247734602977	44.79213530339652	SPARC;PDCD6;RPE;SRI;HMGCL;IMPA1;CAPN1;PGM1;TPD52;DUT;ANXA1;ANXA4;EPHX2;IDH1;IDH2;SOD2;HSPE1;NME1;CRNN;MTHFD2;NDUFAB1;S100A6;PIR;HPRT1;AGRN;S100A8
peptidyl-prolyl cis-trans isomerase activity (GO:0003755)	8/38	4.974873640194828E-7	5.726079559864247E-5	0	0	10.993541294489487	159.5569127896236	FKBP1A;FKBP2;FKBP1B;PPIF;FKBP7;PPIB;PPIA;FKBP3
