Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Glycolysis / Gluconeogenesis	29/68	3.662890093134092E-32	1.1281701486853003E-29	0	0	22.270004607587158	1612.002491487446	GPI;ADH1A;ENO1;ENO2;ENO3;ADH5;LDHB;LDHA;ALDH2;PGK1;PGM2;PGM1;PCK2;TPI1;PGAM1;PGAM2;AKR1A1;BPGM;MINPP1;PKM;GAPDHS;ALDOC;ALDOA;ALDH7A1;DLD;GAPDH;LDHAL6A;PFKP;LDHAL6B
Peroxisome	21/83	4.047810958921491E-18	6.233628876739095E-16	0	0	13.212117399100316	529.1235737520874	PECR;GSTK1;ACOT8;PHYH;IDH1;EPHX2;IDH2;CROT;SOD2;SOD1;HMGCL;PRDX5;ACOX1;PRDX1;PEX5;CAT;NUDT19;HACL1;ACOX3;ACAA1;DECR2
Pyruvate metabolism	16/39	6.044691740159968E-18	6.205883519897568E-16	0	0	21.423311240543615	849.3775443060307	FH;MDH1;MDH2;GLO1;ACAT2;ACAT1;LDHB;GRHPR;LDHA;PKM;ALDH2;ALDH7A1;DLD;LDHAL6A;PCK2;LDHAL6B
Citrate cycle (TCA cycle)	13/30	3.3929187913178905E-15	2.612547469314776E-13	0	0	22.628372497824195	753.9114290104633	FH;MDH1;MDH2;IDH1;IDH2;CS;ACLY;SUCLA2;SUCLG2;SUCLG1;ACO2;DLD;PCK2
Valine, leucine and isoleucine degradation	15/48	8.002892514756029E-15	4.929781789089714E-13	0	0	16.318537859007833	529.6829855456101	ECHS1;ACAA2;HMGCS1;ABAT;HSD17B10;ACAT2;ACAT1;HMGCL;ALDH6A1;ALDH2;HADH;ACAA1;ALDH7A1;DLD;BCAT2
Propanoate metabolism	13/32	9.506577291126897E-15	4.88004300944514E-13	0	0	21.21409921671018	684.9352192601225	ECHS1;ABAT;ACAT2;ACAT1;LDHB;LDHA;ALDH6A1;SUCLA2;SUCLG2;SUCLG1;DLD;LDHAL6A;LDHAL6B
Glutathione metabolism	15/56	1.0352602716247637E-13	4.55514519514896E-12	0	0	13.987318164863856	418.2061732140488	GSTK1;G6PD;RRM1;GPX1;GPX4;GSTO1;GSTP1;IDH1;IDH2;GSTT2;TXNDC12;GSTT1;PGD;LAP3;GSTT2B
Fatty acid degradation	13/44	1.1543071598577092E-12	4.44408256545218E-11	0	0	15.428435793971042	424.089450007126	ECHS1;ACAA2;ECI1;ADH1A;ACAT2;ADH5;ACAT1;ALDH2;ACOX1;ACOX3;HADH;ACAA1;ALDH7A1
Drug metabolism	18/108	2.3315552941456505E-12	7.979100339965116E-11	0	0	8.703220191470843	233.11127556848075	GSTK1;DUT;RRM1;GSTO1;ADH1A;GSTP1;GMPS;NME2;GSTT2;GSTT1;ADH5;NME1;NME1-NME2;IMPDH2;CMPK1;HPRT1;UMPS;GSTT2B
Cysteine and methionine metabolism	13/47	2.969614060340232E-12	9.146411305847915E-11	0	0	14.443642019887784	383.3716554951654	MPST;AHCY;GOT1;MDH1;MDH2;GOT2;LDHB;LDHA;MTAP;TST;LDHAL6A;BCAT2;LDHAL6B
Pentose phosphate pathway	11/30	4.3400141989099656E-12	1.2152039756947903E-10	0	0	19.147084421235856	500.94791724633035	GPI;G6PD;RPE;PGM2;ALDOC;PGLS;PGD;ALDOA;TKT;PGM1;PFKP
Purine metabolism	18/129	5.1158173265997704E-11	1.313059780493941E-9	0	0	7.2864169044872185	172.65965520298317	RRM1;GDA;AK1;GMPS;NME2;AK3;AK4;PAICS;NME1;NME1-NME2;NUDT9;ATIC;PKM;PPAT;IMPDH2;PGM2;HPRT1;PGM1
Glyoxylate and dicarboxylate metabolism	10/30	1.2601268962661375E-10	2.9855314157690024E-9	0	0	17.406440382941685	396.7735161484034	GCSH;CS;GRHPR;MDH1;MDH2;CAT;ACO2;DLD;ACAT2;ACAT1
Alanine, aspartate and glutamate metabolism	10/35	7.069923117093253E-10	1.5553830857605156E-8	0	0	14.919806042521445	314.36033307897384	ALDH4A1;ALDH5A1;GOT1;PPAT;GPT2;GOT2;ASNS;GPT;ABAT;NIT2
Butanoate metabolism	9/28	1.5791255392136437E-9	3.2424711071853485E-8	0	0	16.78478179783663	340.1670111783544	HMGCL;ECHS1;ALDH5A1;HMGCS1;ACSM5;ABAT;HADH;ACAT2;ACAT1
