Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
regulation of transcription from RNA polymerase II promoter (GO:0006357)	144/1478	6.08998920182821E-118	3.1077214896929353E-114	0	0	9.742895805142084	2629.5919371930536	RB1;ATF2;SMARCB1;SPI1;KDM1A;EHMT2;IKZF1;AHR;NR3C1;ETS1;SOX2;YY1;KAT5;MYC;RUVBL2;MYB;RUVBL1;EP300;JUNB;GTF2I;MEN1;SMARCC1;SMARCC2;RUNX2;HIC1;RUNX1;HCFC1;TBL1XR1;DDIT3;PGR;TP53;ATF3;NOTCH1;KMT2A;PRKDC;CTBP1;EPAS1;HIF1A;GATA1;FOXO1;NKX2-1;TP53BP1;PPARGC1A;BPTF;SMAD2;TFAP2A;JUN;CREBBP;XRCC6;SMAD4;JUND;SMAD3;UBE2I;POU2F1;CBX5;BCL11B;VDR;ZBTB16;SMARCA5;HMGA1;NFATC2;NFATC1;NR0B2;SMARCA2;ESR1;FLI1;NFKB1;SMARCA4;NR4A1;BCL6;SP1;SP3;MAFK;RCOR1;TP73;EZH2;NFE2L2;CDKN1A;THRB;THRA;SUV39H1;FHL2;CHD4;BRCA1;HMGB1;CHD3;SUMO1;SIN3A;HNF4A;DNMT3B;NCOA1;NCOA2;SS18;PARP1;H2AFY;NCOA6;H2AFZ;EED;NCOA3;ACTL6A;FOS;ARID1A;SIRT1;NCOR2;KAT2B;KAT2A;NCOR1;CREB1;MYOD1;RARA;PPARG;PPARA;PPARD;HDAC4;SMARCD1;HDAC5;CEBPB;HDAC2;SMARCD2;HDAC3;SMARCD3;SATB1;HDAC1;UHRF1;SRF;NR1I2;FOXK2;RELA;RELB;RXRA;PLAGL1;NRIP1;E2F1;MBD3;SMARCE1;STAT1;NR1H2;MBD2;NR1H4;NR1H3;GATAD2B;GATAD2A;KLF5;CTNNB1
regulation of transcription, DNA-templated (GO:0006355)	138/1598	4.1207006858335455E-104	1.0513967799904291E-100	0	0	8.635794743429287	2055.775347342186	RB1;ATF2;SMARCB1;SPI1;KDM1A;IKZF1;AHR;NR3C1;ETS1;SOX2;YY1;KAT5;TRIM28;MYC;RUVBL2;MYB;RUVBL1;EP300;JUNB;GTF2I;MEN1;DAXX;SMARCC1;SMARCC2;RUNX2;PIAS2;HIC1;RUNX1;HCFC1;PIAS1;TBL1XR1;DDIT3;TP53;ATF3;NOTCH1;KMT2A;CTBP1;EPAS1;HIF1A;GATA1;FOXO1;NKX2-1;TP53BP1;PPARGC1A;ZBTB7A;BPTF;SMAD2;TFAP2A;JUN;CREBBP;XRCC6;SMAD4;JUND;SMAD3;UBE2I;POU2F1;CBX5;BCL11B;XRCC5;VDR;ZBTB16;SMARCA5;HMGA1;NFATC2;NFATC1;SMARCA1;SMARCA2;ESR1;FLI1;NFKB1;SMARCA4;BCL6;SP1;BCL3;SP3;RCOR1;TP73;EZH2;NFE2L2;CDKN1A;THRA;SUV39H1;PHF1;CHD7;FHL2;ASH2L;CHD4;BRCA1;HMGB1;CHD3;DNMT3L;SUMO1;SIN3A;HNF4A;NCOA1;NCOA2;SS18;NCOA6;EED;NCOA3;ACTL6A;ARNT;FOS;ARID1A;SIRT1;KAT2A;CREB1;MYOD1;RARA;PPARG;PPARA;PPARD;HDAC4;SMARCD1;HDAC5;CEBPB;HDAC2;SMARCD2;HDAC3;SMARCD3;SATB1;HDAC1;NR1I2;FOXK2;RELA;NRIP1;E2F1;MTA3;SUZ12;SMARCE1;STAT1;NR1H2;MBD2;NR1H3;PML;GATAD2A;CARM1;CTNNB1
positive regulation of transcription, DNA-templated (GO:0045893)	120/1120	3.091981746469363E-98	5.2594609507443866E-95	0	0	10.714285714285714	2405.6199309233484	RB1;ATF2;SMARCB1;SPI1;KDM1A;IKZF1;AHR;NR3C1;ETS1;SOX2;KAT5;TRIM28;MYC;RUVBL2;MYB;EP300;JUNB;MEN1;SMARCC1;SMARCC2;RUNX2;PIAS2;RUNX1;HCFC1;PIAS1;TBL1XR1;DDIT3;PGR;TP53;ATF3;NOTCH1;KMT2A;PRKDC;EPAS1;HIF1A;GATA1;FOXO1;NKX2-1;TP53BP1;PPARGC1A;BPTF;SMAD2;TFAP2A;JUN;CREBBP;XRCC6;SMAD4;JUND;SMAD3;POU2F1;BCL11B;VDR;ZBTB16;HMGA1;NFATC2;NFATC1;SMARCA1;SMARCA2;ESR1;FLI1;NFKB1;SMARCA4;NR4A1;SP1;BCL3;SP3;TP73;NFE2L2;THRB;THRA;PHF1;FHL2;BRCA1;HMGB1;SIN3A;HNF4A;NCOA1;NCOA2;SS18;PARP1;NCOA6;H2AFZ;NCOA3;ARNT;FOS;ARID1A;SIRT1;ARID1B;KAT2B;KAT2A;CREB1;MYOD1;RARA;PPARG;PPARA;PPARD;HDAC4;SMARCD1;HDAC5;CEBPB;HDAC2;HDAC3;SMARCD3;HDAC1;UHRF1;SRF;NR1I2;FOXK2;RELA;RELB;RXRA;PLAGL1;NRIP1;E2F1;STAT1;NR1H2;NR1H4;NR1H3;KLF5;CTNNB1
negative regulation of transcription, DNA-templated (GO:0045892)	105/813	2.3736652069686618E-92	3.02820338779027E-89	0	0	12.915129151291513	2724.7486218792033	RB1;SPI1;KDM1A;EHMT2;IKZF1;AHR;NR3C1;SOX2;YY1;KAT5;TRIM28;MYC;MYB;EP300;JUNB;MEN1;DAXX;SMARCC2;RUNX2;HIC1;HCFC1;TBL1XR1;DDIT3;TP53;ATF3;NOTCH1;CTBP1;GATA1;FOXO1;NKX2-1;ZBTB7A;BPTF;SMAD2;TFAP2A;JUN;CREBBP;XRCC6;SMAD4;JUND;SMAD3;UBE2I;POU2F1;CBX5;XRCC5;VDR;ZBTB16;HMGA1;NR0B2;SMARCA2;ESR1;NFKB1;SMARCA4;BCL6;BCL3;SP3;MAFK;RCOR1;TP73;EZH2;THRA;SUV39H1;FHL2;BRCA1;HMGB1;DNMT3L;SUMO1;SIN3A;DNMT3B;PARP1;H2AFY;EED;SIRT1;NCOR2;NCOR1;CREB1;RARA;PPARG;PPARA;PPARD;HDAC4;HDAC5;CEBPB;HDAC2;HDAC3;SATB1;HDAC1;UHRF1;NR1I2;RELA;RELB;RXRA;NRIP1;E2F1;MTA3;MBD3;SMARCE1;STAT1;NR1H2;MBD2;NR1H4;NR1H3;GATAD2B;PML;GATAD2A;CTNNB1
positive regulation of transcription from RNA polymerase II promoter (GO:0045944)	101/848	1.233696826674802E-84	1.259110981304303E-81	0	0	11.910377358490566	2301.169857613274	ATF2;SMARCB1;SPI1;KDM1A;IKZF1;AHR;NR3C1;ETS1;SOX2;KAT5;MYC;RUVBL2;MYB;EP300;JUNB;MEN1;RUNX2;RUNX1;TBL1XR1;DDIT3;PGR;TP53;ATF3;NOTCH1;KMT2A;PRKDC;EPAS1;HIF1A;GATA1;FOXO1;NKX2-1;TP53BP1;PPARGC1A;SMAD2;TFAP2A;JUN;CREBBP;XRCC6;SMAD4;JUND;SMAD3;POU2F1;BCL11B;VDR;HMGA1;NFATC2;NFATC1;SMARCA2;ESR1;NFKB1;SMARCA4;NR4A1;SP1;SP3;TP73;NFE2L2;THRB;THRA;BRCA1;HMGB1;SIN3A;HNF4A;NCOA1;NCOA2;SS18;PARP1;NCOA6;H2AFZ;NCOA3;FOS;SIRT1;KAT2B;KAT2A;CREB1;MYOD1;RARA;PPARG;PPARA;PPARD;HDAC4;HDAC5;CEBPB;HDAC2;HDAC3;HDAC1;UHRF1;SRF;NR1I2;FOXK2;RELA;RELB;RXRA;PLAGL1;NRIP1;E2F1;STAT1;NR1H2;NR1H4;NR1H3;KLF5;CTNNB1
positive regulation of gene expression (GO:0010628)	94/771	6.729585907943727E-79	5.723512814706139E-76	0	0	12.19195849546044	2194.5245941634694	RB1;ATF2;GSK3B;SPI1;PHF1;FHL2;BRCA1;AHR;ETS1;SOX2;KAT5;TRIM28;MYC;HNF4A;MYB;DNMT3B;EP300;NCOA1;SS18;SMARCC1;SMARCC2;TBP;H2AFY;NCOA6;NCOA3;ARNT;FOS;ARID1A;RUNX2;PIAS2;RUNX1;HCFC1;PIAS1;KAT2B;KAT2A;CREB1;TBL1XR1;DDIT3;RARA;PPARG;PPARA;TP53;PPARD;HDAC4;DNMT1;HDAC2;NOTCH1;SMARCD3;KMT2A;HDAC1;NR1I2;HIF1A;GATA1;RELA;FOXO1;HIST1H3A;NRIP1;NKX2-1;E2F1;MAPK1;TP53BP1;PPARGC1A;BPTF;SMAD2;TFAP2A;JUN;CREBBP;XRCC6;SMAD4;SMAD3;STAT1;VDR;NR1H2;ZBTB16;H3F3A;SMARCA5;HMGA1;NFATC2;NR1H3;NFATC1;SMARCA1;NR0B2;SMARCA2;ESR1;FLI1;NFKB1;SMARCA4;HIST1H4A;SP1;BCL3;SP3;CTNNB1;TP73;NFE2L2
negative regulation of transcription from RNA polymerase II promoter (GO:0000122)	82/565	4.653347390426527E-74	3.3922902476209384E-71	0	0	14.513274336283185	2450.620216684366	RB1;KDM1A;EHMT2;SUV39H1;FHL2;HMGB1;NR3C1;SOX2;YY1;KAT5;SUMO1;SIN3A;MYC;MYB;DNMT3B;EP300;JUNB;MEN1;PARP1;H2AFY;EED;SIRT1;HIC1;HCFC1;NCOR2;NCOR1;TBL1XR1;DDIT3;RARA;PPARG;PPARA;TP53;ATF3;PPARD;HDAC4;HDAC5;CEBPB;HDAC2;NOTCH1;HDAC3;CTBP1;SATB1;HDAC1;UHRF1;SRF;NR1I2;GATA1;RELA;RELB;RXRA;NRIP1;NKX2-1;E2F1;BPTF;MBD3;SMAD2;TFAP2A;JUN;CREBBP;SMAD4;JUND;SMAD3;UBE2I;CBX5;STAT1;VDR;NR1H2;ZBTB16;MBD2;NR1H4;NR1H3;NR0B2;SMARCA2;ESR1;GATAD2B;NFKB1;SMARCA4;GATAD2A;BCL6;MAFK;TP73;EZH2
positive regulation of nucleic acid-templated transcription (GO:1903508)	79/502	5.48600894614011E-74	3.499387956519123E-71	0	0	15.737051792828685	2654.669038407879	RB1;SPI1;PHF1;FHL2;BRCA1;AHR;ETS1;SOX2;KAT5;TRIM28;MYC;HNF4A;MYB;EP300;NCOA1;SS18;SMARCC1;SMARCC2;NCOA6;NCOA3;ARNT;FOS;ARID1A;RUNX2;PIAS2;RUNX1;HCFC1;PIAS1;CREB1;TBL1XR1;DDIT3;RARA;PPARG;PPARA;TP53;PPARD;HDAC4;HDAC2;NOTCH1;SMARCD3;KMT2A;HDAC1;NR1I2;HIF1A;GATA1;RELA;FOXO1;NRIP1;NKX2-1;E2F1;TP53BP1;PPARGC1A;BPTF;SMAD2;TFAP2A;JUN;CREBBP;XRCC6;SMAD4;SMAD3;STAT1;NR1H2;ZBTB16;HMGA1;NFATC2;NR1H3;NFATC1;SMARCA1;SMARCA2;ESR1;FLI1;NFKB1;SMARCA4;SP1;BCL3;SP3;CTNNB1;TP73;NFE2L2
negative regulation of gene expression (GO:0010629)	84/618	1.4049931055128906E-73	7.96631090825809E-71	0	0	13.592233009708737	2280.079137379222	RB1;SPI1;KDM1A;THRA;SUV39H1;PHF1;IKZF1;BRCA1;AHR;YY1;DNMT3L;KAT5;TRIM28;SUMO1;SIN3A;MYB;DNMT3B;MEN1;DAXX;SMARCC2;H2AFY;EED;DNMT3A;SIRT1;RUNX2;NCOR2;NCOR1;DDIT3;RARA;PPARG;PGR;PPARA;TP53;PPARD;HDAC4;HDAC5;DNMT1;HDAC2;NOTCH1;HDAC3;CTBP1;HDAC1;NR1I2;HIF1A;RELA;FOXO1;HIST1H3A;RBBP4;NKX2-1;E2F1;RBBP7;ZBTB7A;MTA3;SUZ12;SMAD2;TFAP2A;SMARCE1;JUN;XRCC6;SMAD4;UBE2I;POU2F1;CBX5;XRCC5;VDR;NR1H2;ZBTB16;H3F3A;MBD2;HMGA1;NR0B2;SMARCA2;ESR1;NFKB1;PML;SMARCA4;GATAD2A;HIST1H4A;BCL6;BCL3;SP3;CTNNB1;RCOR1;EZH2
negative regulation of nucleic acid-templated transcription (GO:1903507)	65/444	7.125933032545172E-58	3.6363636265078015E-55	0	0	14.63963963963964	1926.3744723128195	RB1;SPI1;KDM1A;THRA;SUV39H1;IKZF1;BRCA1;AHR;DNMT3L;KAT5;TRIM28;SUMO1;SIN3A;MYB;MEN1;DAXX;SMARCC2;EED;SIRT1;RUNX2;DDIT3;RARA;PPARG;PPARA;TP53;PPARD;HDAC4;HDAC5;HDAC2;NOTCH1;HDAC3;CTBP1;HDAC1;NR1I2;RELA;FOXO1;NKX2-1;E2F1;ZBTB7A;MTA3;SMAD2;TFAP2A;SMARCE1;JUN;XRCC6;SMAD4;UBE2I;POU2F1;CBX5;XRCC5;VDR;NR1H2;ZBTB16;MBD2;HMGA1;SMARCA2;PML;SMARCA4;GATAD2A;BCL6;BCL3;SP3;CTNNB1;RCOR1;EZH2
