Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
nuclear chromatin (GO:0000790)	72/253	3.534257860267033E-87	1.5762790056790969E-84	0	0	28.458498023715418	5665.016909986508	SMARCB1;SPI1;KDM1A;EHMT2;CHD4;YY1;KAT5;MYC;RUVBL2;RUVBL1;DPF2;JUNB;MEN1;NCOA1;SMARCC1;SMARCC2;TBP;H2AFY;H2AFZ;NCOA3;ACTL6A;H2AFX;ARID1A;SIRT1;RUNX2;NCOR2;NCOR1;CREB1;MYOD1;RARA;TP53;PPARD;HDAC2;SMARCD2;SMARCD3;UHRF2;HDAC1;UHRF1;SRF;RELA;HIST1H3A;RXRA;RBBP4;NRIP1;EP400;E2F1;MTA2;BPTF;MBD3;SMAD2;SMARCE1;JUN;CREBBP;SMAD4;JUND;SMAD3;CBX5;STAT1;H3F3A;MBD2;NR1H4;NR1H3;NFATC1;SMARCA2;ESR1;GATAD2B;SMARCA4;HIST1H4A;SP1;HIST3H3;CTNNB1;EZH2
nuclear chromosome part (GO:0044454)	77/392	7.803572619989658E-80	1.7401966942576938E-77	0	0	19.642857142857142	3577.9901492988556	SMARCB1;SPI1;KDM1A;EHMT2;CHD4;BRCA1;YY1;KAT5;MYC;RUVBL2;RUVBL1;DPF2;JUNB;MEN1;NCOA1;SMARCC1;SMARCC2;TBP;PARP1;H2AFY;H2AFZ;NCOA3;ACTL6A;H2AFX;ARID1A;SIRT1;RUNX2;NCOR2;DDB1;NCOR1;MYOD1;RARA;HIST1H2BB;TP53;PPARD;HDAC2;SMARCD2;SMARCD3;PRKDC;HDAC1;UHRF1;SRF;RELA;HIST1H3A;RXRA;RBBP4;NRIP1;EP400;E2F1;MTA2;BPTF;MBD3;SMAD2;SMARCE1;JUN;CREBBP;XRCC6;SMAD4;JUND;SMAD3;CBX5;XRCC5;STAT1;H3F3A;MBD2;SMARCA5;NR1H3;NFATC1;SMARCA2;ESR1;GATAD2B;PML;SMARCA4;HIST1H4A;SP1;HIST3H3;EZH2
chromatin (GO:0000785)	66/296	1.1576332430181249E-71	1.7210147546202788E-69	0	0	22.2972972972973	3641.9773051705106	RB1;TOP2B;SMARCB1;SPI1;KDM1A;EHMT2;SUV39H1;CHD4;YY1;SIN3A;MYC;DPF2;JUNB;MEN1;NCOA1;SMARCC1;SMARCC2;TBP;H2AFY;H2AFZ;NCOA3;ACTL6A;H2AFX;DNMT3A;ARID1A;SIRT1;RUNX2;HIC1;NCOR2;NCOR1;MYOD1;RARA;TP53;PPARD;HDAC2;SMARCD2;SMARCD3;HDAC1;UHRF1;SRF;RELA;RXRA;RBBP4;NRIP1;E2F1;MTA2;BPTF;MBD3;SMAD2;SMARCE1;JUN;CREBBP;SMAD4;JUND;SMAD3;STAT1;MBD2;NR1H3;NFATC1;SMARCA2;ESR1;GATAD2B;SMARCA4;SP1;TP73;EZH2
RNA polymerase II transcription factor complex (GO:0090575)	33/147	1.925891995759681E-35	2.1473695752720444E-33	0	0	22.448979591836736	1794.4611820806451	RB1;CEBPB;THRB;THRA;NR1I2;HIF1A;RXRA;TRIM28;E2F1;JUNB;SMAD2;SMAD4;JUN;JUND;POU2F1;TBP;VDR;NR1H2;HMGA1;NR1H4;ARNT;NR1H3;FOS;KAT2A;CREB1;DDIT3;RARA;CTNNB1;PPARG;TAF6;PPARA;TP53;PPARD
BAF-type complex (GO:0090544)	14/17	4.170662858987E-26	3.7202312702164044E-24	0	0	82.35294117647058	4812.6348476440235	RB1;SMARCE1;SMARCD1;SMARCC1;SMARCD2;PBRM1;SMARCD3;SMARCC2;SMARCB1;ACTL6A;ARID1A;ARID1B;SMARCA2;SMARCA4
SWI/SNF complex (GO:0016514)	13/15	6.944570439470295E-25	5.162130693339586E-23	0	0	86.66666666666667	4820.9778242015755	RB1;SMARCE1;SMARCD1;SMARCC1;SMARCD2;SMARCD3;SMARCC2;SMARCB1;ACTL6A;ARID1A;ARID1B;SMARCA2;SMARCA4
histone methyltransferase complex (GO:0035097)	18/49	4.039934940059377E-24	2.5740156903806887E-22	0	0	36.734693877551024	1978.74417467606	SUZ12;HDAC2;CBX5;H2AFY;KMT2A;NCOA6;EED;PHF1;ASH2L;SIRT1;HCFC1;DNMT3L;RBBP4;RBBP5;RBBP7;MEN1;BPTF;EZH2
nuclear transcription factor complex (GO:0044798)	19/71	2.3039514911170365E-22	1.2844529562977479E-20	0	0	26.76056338028169	1333.2713813968082	THRB;POU2F1;THRA;VDR;NR1H2;NR1I2;HMGA1;NR1H4;ARNT;NFATC2;NR1H3;NFATC1;HIF1A;RXRA;TRIM28;RARA;PPARG;PPARA;PPARD
npBAF complex (GO:0071564)	10/11	8.687621611739283E-20	4.3051991542619115E-18	0	0	90.9090909090909	3989.982059146763	SMARCE1;SMARCD1;SMARCC1;SMARCD3;SMARCC2;SMARCB1;ACTL6A;ARID1A;SMARCA2;SMARCA4
CHD-type complex (GO:0090545)	11/16	3.1668039502484804E-19	1.4123945618108222E-17	0	0	68.75	2928.502080980997	MBD3;HDAC2;CSNK2A1;RBBP4;HDAC1;CHD4;CHD3;RBBP7;MTA2;GATAD2B;GATAD2A
NuRD complex (GO:0016581)	11/16	3.1668039502484804E-19	1.2839950561916566E-17	0	0	68.75	2928.502080980997	MBD3;HDAC2;CSNK2A1;RBBP4;HDAC1;CHD4;CHD3;RBBP7;MTA2;GATAD2B;GATAD2A
