Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
transcription regulatory region DNA binding (GO:0044212)	75/374	2.4913292229715684E-78	2.8675199356402753E-75	0	0	20.053475935828875	3583.33196913782	RB1;ATF2;SPI1;THRB;KDM1A;THRA;SUV39H1;ASH2L;IKZF1;BRCA1;AHR;NR3C1;SOX2;YY1;SIN3A;MYC;HNF4A;MYB;EP300;MEN1;TBP;H2AFY;ARNT;FOS;RUNX1;NCOR1;CREB1;TBL1XR1;DDIT3;MYOD1;RARA;PPARG;PPARA;TP53;ATF3;PPARD;HDAC4;HDAC5;NOTCH1;KMT2A;HDAC1;SRF;NR1I2;GATA1;RELA;RELB;RXRA;MTA1;RBBP5;NKX2-1;E2F1;MTA2;SMAD2;TFAP2A;JUN;XRCC6;SMAD4;JUND;SMAD3;BCL11B;XRCC5;STAT1;VDR;NR1H2;NR1H4;NR1H3;SMARCA2;ESR1;NFKB1;SP1;CARM1;RCOR1;TP73;EZH2;NFE2L2
RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)	76/460	1.2663309228167516E-72	7.287734460810405E-70	0	0	16.52173913043478	2735.1739628329956	ATF2;SMARCB1;SPI1;THRB;THRA;CHD4;NR3C1;ETS1;YY1;MYC;RUVBL2;MYB;DPF2;JUNB;SMARCC1;SMARCC2;PARP1;H2AFY;H2AFZ;ACTL6A;FOS;RUNX1;CREB1;DDIT3;MYOD1;RARA;PPARG;PGR;PPARA;TP53;ATF3;PPARD;CEBPB;HDAC2;SMARCD2;SATB1;HDAC1;SRF;NR1I2;FOXK2;GATA1;RELA;RELB;RXRA;RBBP4;PLAGL1;NKX2-1;MBD3;SMAD2;TFAP2A;SMARCE1;JUN;SMAD4;JUND;SMAD3;POU2F1;STAT1;VDR;NR1H2;ZBTB16;H3F3A;MBD2;NR1H4;NFATC2;NR1H3;NFATC1;ESR1;GATAD2B;NFKB1;SMARCA4;GATAD2A;NR4A1;KLF5;SP1;SP3;TP73
DNA binding (GO:0003677)	88/893	4.799394199811938E-65	1.8413675746611802E-62	0	0	9.854423292273236	1459.4355697858027	RB1;SMARCB1;THRB;PHF1;CHD4;IKZF1;BRCA1;AHR;HMGB1;ETS1;SOX2;YY1;TRIM28;MYC;HNF4A;MYB;EP300;JUNB;GTF2I;MEN1;PARP1;H2AFY;H2AFZ;H2AFX;DNMT3A;ARNT;ARID1A;HIC1;DDB1;DDIT3;PPARG;PGR;PPARA;HIST1H2BB;TP53;PPARD;HDAC4;DNMT1;CEBPB;HDAC2;PRKDC;EPAS1;SATB1;SRF;FOXK2;HIF1A;GATA1;NR2C1;RELA;FOXO1;RXRA;PLAGL1;TDG;NKX2-1;E2F1;PPARGC1A;ZBTB7A;BPTF;MBD3;SMAD2;TFAP2A;JUN;CREBBP;XRCC6;SMAD4;SMAD3;POU2F1;BCL11B;XRCC5;STAT1;VDR;NR1H2;ZBTB16;SMARCA5;NR1H4;HMGA1;NFATC2;NR1H3;FLI1;NR4A1;HIST1H4A;BCL6;SP1;MAFK;TAF6;TP73;EZH2;NFE2L2
transcription coactivator activity (GO:0003713)	56/291	1.8209557901244343E-56	5.23980028608306E-54	0	0	19.243986254295532	2469.877184316474	RB1;ATF2;SMARCB1;THRB;KDM1A;THRA;FHL2;BRCA1;YY1;KAT5;TRIM28;RUVBL1;EP300;JUNB;NCOA1;NCOA2;SS18;DAXX;SMARCC1;SMARCC2;NCOA6;NCOA3;ACTL6A;ARID1A;ARID1B;PIAS2;HCFC1;PIAS1;KAT2B;KAT2A;RARA;PPARG;PPARA;PPARD;SMARCD1;SMARCD2;SMARCD3;NR1I2;RXRA;MTA1;NRIP1;PPARGC1A;TFAP2A;SMARCE1;JUN;CREBBP;JUND;VDR;NR1H2;NR1H4;HMGA1;NR1H3;SMARCA2;SMARCA4;CARM1;CTNNB1
core promoter proximal region sequence-specific DNA binding (GO:0000987)	52/278	1.2933931116816895E-51	2.977390943091249E-49	0	0	18.705035971223023	2191.754559078452	SMARCB1;CHD4;NR3C1;ETS1;YY1;MYC;MYB;DPF2;JUNB;SMARCC1;SMARCC2;TBP;H2AFZ;ACTL6A;FOS;CREB1;DDIT3;MYOD1;PGR;PPARA;TP53;ATF3;HDAC2;SMARCD2;HDAC1;UHRF1;SRF;FOXK2;RELA;RBBP4;MBD3;SMAD2;TFAP2A;SMARCE1;JUN;CREBBP;SMAD4;JUND;SMAD3;STAT1;NR1H2;MBD2;NFATC2;NFATC1;ESR1;GATAD2B;SMARCA4;NR4A1;KLF5;SP1;SP3;TP73
transcription regulatory region sequence-specific DNA binding (GO:0000976)	52/292	1.9485962927387383E-50	3.7380572215704793E-48	0	0	17.80821917808219	2038.3669726313242	ATF2;THRB;THRA;SUV39H1;YY1;SIN3A;TBP;PARP1;H2AFY;RUNX1;CREB1;DDIT3;MYOD1;RARA;PPARG;PPARA;TP53;ATF3;PPARD;CEBPB;KMT2A;SATB1;HDAC1;UHRF1;SRF;NR1I2;GATA1;RELA;RELB;RXRA;MTA1;PLAGL1;NRIP1;NKX2-1;MTA2;TFAP2A;CREBBP;SMAD4;SMAD3;VDR;NR1H2;NR1H4;HMGA1;NR1H3;ESR1;GATAD2B;NFKB1;GATAD2A;NR4A1;SP1;SP3;NFE2L2
regulatory region DNA binding (GO:0000975)	46/224	1.5984295468683948E-47	2.6282748692078892E-45	0	0	20.535714285714285	2212.774096789392	HDAC4;HDAC5;KDM1A;KMT2A;THRA;HDAC1;SRF;ASH2L;IKZF1;BRCA1;AHR;RELA;SOX2;YY1;RXRA;RBBP5;HNF4A;MYB;NKX2-1;MEN1;TFAP2A;JUN;XRCC6;SMAD4;JUND;SMAD3;TBP;BCL11B;H2AFY;XRCC5;NR1H3;FOS;SMARCA2;NFKB1;RUNX1;NCOR1;TBL1XR1;SP1;DDIT3;CARM1;PPARG;TP53;ATF3;RCOR1;TP73;NFE2L2
RNA polymerase II core promoter proximal region sequence-specific DNA binding (GO:0000978)	48/262	4.390531307772499E-47	6.316876919057682E-45	0	0	18.3206106870229	1955.5795259382369	HDAC2;SMARCD2;SMARCB1;HDAC1;SRF;FOXK2;CHD4;NR3C1;ETS1;RELA;YY1;RBBP4;MYC;MYB;DPF2;JUNB;MBD3;SMAD2;TFAP2A;SMARCE1;SMARCC1;JUN;SMAD4;SMARCC2;JUND;SMAD3;STAT1;H2AFZ;NR1H2;ACTL6A;MBD2;NFATC2;NFATC1;FOS;ESR1;GATAD2B;SMARCA4;NR4A1;CREB1;KLF5;SP1;DDIT3;MYOD1;PGR;PPARA;TP53;ATF3;TP73
RNA polymerase II distal enhancer sequence-specific DNA binding (GO:0000980)	27/52	6.244365006501977E-41	7.985849024981973E-39	0	0	51.92307692307693	4806.742985722319	ATF2;SMARCD2;HDAC2;SMARCB1;SPI1;HDAC1;CHD4;RELA;YY1;RBBP4;RUVBL2;SMARCE1;MBD3;SMARCC1;JUN;SMARCC2;H2AFZ;ZBTB16;ACTL6A;H3F3A;MBD2;NR1H4;NFATC1;GATAD2B;NFKB1;SMARCA4;CREB1
enhancer sequence-specific DNA binding (GO:0001158)	28/64	1.1571605518223347E-39	1.3318917951475073E-37	0	0	43.75	3922.3996622371446	ATF2;SMARCD2;HDAC2;SMARCB1;SPI1;HDAC1;CHD4;RELA;YY1;RBBP4;RUVBL2;SMARCE1;MBD3;SMARCC1;JUN;SMARCC2;H2AFZ;ZBTB16;ACTL6A;H3F3A;MBD2;HMGA1;NR1H4;NFATC1;GATAD2B;NFKB1;SMARCA4;CREB1
