Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Thyroid hormone signaling pathway	28/116	4.021997441909779E-31	1.2387752121082119E-28	0	0	24.137931034482758	1689.3741882497484	GSK3B;HDAC2;NOTCH1;THRB;HDAC3;THRA;SRC;HDAC1;HIF1A;FOXO1;RXRA;SIN3A;MYC;EP300;MAPK1;RXRG;NCOA1;MED1;NCOA2;CREBBP;STAT1;NCOA3;ESR1;KAT2B;KAT2A;NCOR1;CTNNB1;TP53
Transcriptional misregulation in cancer	31/186	4.75702391330405E-29	7.325816826488237E-27	0	0	16.666666666666664	1086.9224242069697	CDKN1A;CEBPB;HDAC2;SPI1;KMT2A;HDAC1;FOXO1;RELA;HIST1H3A;RXRA;SIN3A;MYC;RXRG;MEN1;SS18;BCL11B;ZBTB16;H3F3A;RUNX2;NFKB1;FLI1;PML;RUNX1;NCOR1;BCL6;SP1;DDIT3;HIST3H3;RARA;PPARG;TP53
Pathways in cancer	43/530	7.144297570791198E-27	7.334812172678963E-25	0	0	8.11320754716981	488.44335276228475	RB1;GSK3B;CDKN1A;HDAC2;SPI1;NOTCH1;CTBP1;EPAS1;HDAC1;HIF1A;ETS1;RELA;FOXO1;RXRA;MYC;E2F1;EP300;MAPK1;RXRG;NCOA1;SMAD2;JUN;CREBBP;SMAD4;HSP90AA1;SMAD3;STAT1;NCOA3;ZBTB16;ARNT;FOS;ESR1;NFKB1;PML;RUNX1;AR;SP1;RARA;CTNNB1;PPARG;TP53;PPARD;NFE2L2
Hepatocellular carcinoma	26/168	1.3003148628978624E-23	1.001242444431354E-21	0	0	15.476190476190476	815.5464989516721	RB1;GSK3B;SMARCD1;CDKN1A;SMARCD2;SMARCB1;SMARCD3;MYC;E2F1;DPF3;MAPK1;SMAD2;SMARCE1;SMARCC1;SMAD4;PBRM1;SMARCC2;SMAD3;ACTL6A;ARID1A;SMARCA2;ARID1B;SMARCA4;CTNNB1;TP53;NFE2L2
Human T-cell leukemia virus 1 infection	27/219	8.630117503436503E-22	5.3161523821168864E-20	0	0	12.32876712328767	597.9651031870604	RB1;ATF2;CDKN1A;SPI1;SRF;ETS1;RELA;RELB;KAT5;MYC;E2F1;EP300;MAPK1;SMAD2;JUN;CREBBP;SMAD4;SMAD3;TBP;NFATC2;NFATC1;FOS;NFKB1;KAT2B;KAT2A;CREB1;TP53
Viral carcinogenesis	25/201	2.4583966621049096E-20	1.2619769532138536E-18	0	0	12.437810945273633	561.5944339029691	RB1;HDAC4;ATF2;HDAC5;CDKN1A;HDAC2;HDAC3;HDAC1;SRC;SRF;CHD4;RELA;EP300;MAPK1;JUN;CREBBP;TBP;NFKB1;DDB1;KAT2B;HIST1H4A;KAT2A;CREB1;HIST1H2BB;TP53
Hepatitis B	22/163	8.544135349705838E-19	3.7594195538705687E-17	0	0	13.496932515337424	561.5246479464171	RB1;SMAD2;ATF2;CREBBP;SMAD4;JUN;CDKN1A;SMAD3;SRC;STAT1;NFATC2;NFATC1;FOS;NFKB1;RELA;DDB1;CREB1;MYC;E2F1;EP300;MAPK1;TP53
Th17 cell differentiation	18/107	2.4545883050343367E-17	9.450164974382195E-16	0	0	16.822429906542055	643.3904444339206	SMAD2;SMAD4;JUN;HSP90AA1;SMAD3;STAT1;NFATC2;NFATC1;AHR;FOS;HIF1A;NFKB1;RELA;RUNX1;RXRA;RARA;MAPK1;RXRG
Kaposi sarcoma-associated herpesvirus infection	20/186	3.152910573495177E-15	1.0789960629294604E-13	0	0	10.75268817204301	359.0371008290841	RB1;GSK3B;CREBBP;JUN;CDKN1A;SRC;STAT1;NFATC2;NFATC1;FOS;HIF1A;NFKB1;RELA;CREB1;MYC;E2F1;EP300;MAPK1;CTNNB1;TP53
Chronic myeloid leukemia	14/76	2.521916335294614E-14	7.76750231270741E-13	0	0	18.421052631578945	576.7847517687602	RB1;CDKN1A;HDAC2;SMAD4;SMAD3;HDAC1;CTBP1;RELA;NFKB1;RUNX1;MYC;E2F1;MAPK1;TP53
